scope,problem,objective,null_hypothesis,alternative_hypothesis,descriptive_best_algorithm,best_median_gain,kruskal_h,kruskal_p,friedman_chi2,friedman_p,kendall_w,impact_algorithms_significant_holm,hypothesis_decision,objective_compliance,coverage_limitation,best_equal_weight_scenario_score,robust_median_gain_best_algorithm,robust_best_median_gain
OE1,"PE.1: ¿En qué medida el algoritmo MADRL impacta en la flexibilidad energética en comunidades inteligentes de la ciudad de Iquitos, y cuál de los algoritmos presenta el mejor desempeño en el escenario E1?",OE.1: Determinar el impacto de los algoritmos MADRLs en la flexibilidad energética en comunidades inteligentes de la ciudad de Iquitos e identificar cuál de los algoritmos presenta el mejor desempeño en el escenario E1.,HE10,HE11,MAAC,-0.00118732324963615,1.5163943284485366,0.46851031324120784,5.589743589743578,0.061122710075168216,0.2329059829059824,MASAC,no se rechaza HE10; no se reúne evidencia conjunta para HE11,cumplido descriptivamente y contrastado de forma exploratoria; pendiente confirmación multisemilla,"HAPPO no dispone de KPI-gains finales comparables; la inferencia incluye MAAC, MASAC y MATD3.",,,
OE2,"PE.2: ¿En qué medida el algoritmo MADRL impacta en las emisiones de CO₂ en comunidades inteligentes de la ciudad de Iquitos, y cuál de los algoritmos presenta el mejor desempeño en el escenario E2?",OE.2: Determinar el impacto de los algoritmos MADRLs en las emisiones de CO₂ en comunidades inteligentes de la ciudad de Iquitos e identificar cuál de los algoritmos presenta el mejor desempeño en el escenario E2.,HE20,HE21,MATD3,-0.0421428734111501,0.5363984674329502,0.764755400863019,6.000000000000003,0.04978706836786389,0.6000000000000003,ninguno,no se rechaza HE20; no se reúne evidencia conjunta para HE21,cumplido descriptivamente y contrastado de forma exploratoria; pendiente confirmación multisemilla,"HAPPO no dispone de KPI-gains finales comparables; la inferencia incluye MAAC, MASAC y MATD3.",,,
OE3,"PE.3: ¿En qué medida el algoritmo MADRL impacta en los costos energéticos en comunidades inteligentes de la ciudad de Iquitos, y cuál de los algoritmos presenta el mejor desempeño en el escenario E3?",OE.3: Determinar el impacto de los algoritmos MADRLs en los costos energéticos en comunidades inteligentes de la ciudad de Iquitos e identificar cuál de los algoritmos presenta el mejor desempeño en el escenario E3.,HE30,HE31,MAAC,-0.0026753353250779,0.6138219751561378,0.7357160858633792,3.4285714285714164,0.18009231214795343,0.1904761904761898,ninguno,no se rechaza HE30; no se reúne evidencia conjunta para HE31,cumplido descriptivamente y contrastado de forma exploratoria; pendiente confirmación multisemilla,"HAPPO no dispone de KPI-gains finales comparables; la inferencia incluye MAAC, MASAC y MATD3.",,,
GLOBAL,"PG: ¿En qué medida los algoritmos MADRLs impactan en la gestión coordinada de la flexibilidad energética, las emisiones de CO₂ y los costos energéticos en comunidades inteligentes de la ciudad de Iquitos, y cuál presenta el mejor desempeño a nivel global?","OG: Determinar el impacto de los algoritmos MADRLs en la gestión coordinada de la flexibilidad energética, las emisiones de CO₂ y los costos energéticos en comunidades inteligentes de la ciudad de Iquitos, e identificar el mejor desempeño global.",H0G,H1G,MAAC,,1.8107833460008875,0.4043834679949526,9.291139240506347,0.009604057435644813,0.17867575462512206,,"se rechaza H0G y se respalda H1G de forma exploratoria para MAAC, MASAC y MATD3",cumplido descriptivamente y contrastado de forma exploratoria; no se identifica un ganador global estadísticamente concluyente,"El ranking global comprende MAAC, MASAC y MATD3; HAPPO carece de KPI-gains finales y la corrida dispone de una sola semilla.",0.806555,MATD3,-0.0069394580653121
