scope,scenario,dimension,algorithm,n_kpis,mean_gain,median_gain,std_gain,q1_gain,q3_gain,min_gain,max_gain,improved_kpis,not_improved_kpis,coverage
OE1,E1,Flexibilidad energética,HAPPO,0,,,,,,,,0,0,sin KPI finales comparables
OE1,E1,Flexibilidad energética,MAAC,12,-0.08877804446842204,-0.00118732324963615,0.5140990742594945,-0.028448331412302498,0.000589227961740875,-1.0,1.0,5,7,completa para KPI-gains disponibles
OE1,E1,Flexibilidad energética,MASAC,12,-0.26208705205762406,-0.01363297268151955,0.4458601613027532,-0.31379707102743076,-0.000279914676200875,-1.0,0.0213742883922686,2,10,completa para KPI-gains disponibles
OE1,E1,Flexibilidad energética,MATD3,12,-0.0868396232888781,-0.0028928315365372003,0.5144591503595992,-0.0159823321849155,0.002227328354142575,-1.0,1.0,5,7,completa para KPI-gains disponibles
OE2,E2,Emisiones de CO₂,HAPPO,0,,,,,,,,0,0,sin KPI finales comparables
OE2,E2,Emisiones de CO₂,MAAC,5,-0.414810066673286,-0.0469962875520018,0.534377594654205,-1.0,-0.0135270229072141,-1.0,-0.0135270229072141,0,5,completa para KPI-gains disponibles
OE2,E2,Emisiones de CO₂,MASAC,5,-0.41714431553783166,-0.0516395919726959,0.5322594617305231,-1.0,-0.0170409928582313,-1.0,-0.0170409928582313,0,5,completa para KPI-gains disponibles
OE2,E2,Emisiones de CO₂,MATD3,5,-0.41010584595486,-0.0421428734111501,0.5387200485488999,-1.0,-0.004193178181575,-1.0,-0.004193178181575,0,5,completa para KPI-gains disponibles
OE3,E3,Costos energéticos,HAPPO,0,,,,,,,,0,0,sin KPI finales comparables
OE3,E3,Costos energéticos,MAAC,9,-0.22779851501145254,-0.0026753353250779,0.4379470845094034,-0.0309261417946908,-0.0026753353250778,-1.0,0.0085329971438503,1,8,completa para KPI-gains disponibles
OE3,E3,Costos energéticos,MASAC,9,-0.23553360192520248,-0.0140263945284846,0.43439356346513436,-0.0863807148533064,-0.0055554410308447,-1.0,0.0222168822781516,1,8,completa para KPI-gains disponibles
OE3,E3,Costos energéticos,MATD3,9,-0.22590642631946764,-0.0091805161969924,0.43889870878473325,-0.0091805161969925,-0.0037730791584453,-1.0,0.0064080463417955,1,8,completa para KPI-gains disponibles
GLOBAL,E1+E2+E3,Gestión coordinada integral,HAPPO,0,,,,,,,,0,0,sin KPI finales comparables
GLOBAL,E1+E2+E3,Gestión coordinada integral,MAAC,26,-0.19959898084963726,-0.01226033389834405,0.4886719400640672,-0.04297875111267405,-0.000882200597589325,-1.0,1.0,6,20,completa para KPI-gains disponibles
GLOBAL,E1+E2+E3,Gestión coordinada integral,MASAC,26,-0.2827141776810565,-0.0195050809821978,0.4447463956085048,-0.7715951787133266,-0.00536144245036725,-1.0,0.0222168822781516,3,23,completa para KPI-gains disponibles
GLOBAL,E1+E2+E3,Gestión coordinada integral,MATD3,26,-0.1971447133121556,-0.0069394580653121,0.4896324362871466,-0.04149621343505535,-0.0011476764822524002,-1.0,1.0,6,20,completa para KPI-gains disponibles
