algorithm,scenario,action_dim,action_l2_max,action_l2_mean,action_l2_min,action_l2_total,action_mean_max,action_mean_mean,action_mean_min,action_mean_total,agent,agent_index,agent_steps,battery_capacity_fade_ratio,battery_charge_total_kwh,battery_discharge_total_kwh,battery_equivalent_full_cycles,battery_throughput_total_kwh,carbon_emissions_baseline_kgco2,carbon_emissions_control_kgco2,carbon_emissions_delta_kgco2,carbon_emissions_max,carbon_emissions_mean,carbon_emissions_min,carbon_emissions_ratio_to_baseline,carbon_emissions_total,electrical_service_violation_time_step_count,electrical_service_violation_total_kwh,electricity_cost_baseline_eur,electricity_cost_control_eur,electricity_cost_delta_eur,electricity_cost_max,electricity_cost_mean,electricity_cost_min,electricity_cost_ratio_to_baseline,electricity_cost_total,equity_relative_benefit_percent,ev_charge_total_kwh,ev_departure_count,ev_departure_met_count,ev_departure_soc_deficit_mean,ev_departure_success_rate,ev_departure_within_tolerance_count,ev_departure_within_tolerance_rate,ev_v2g_export_total_kwh,grid_export_baseline_kwh,grid_export_control_kwh,grid_export_daily_average_baseline_kwh,grid_export_daily_average_control_kwh,grid_export_daily_average_delta_kwh,grid_export_delta_kwh,grid_export_max,grid_export_mean,grid_export_min,grid_export_ratio_to_baseline,grid_export_total,grid_import_baseline_kwh,grid_import_control_kwh,grid_import_daily_average_baseline_kwh,grid_import_daily_average_control_kwh,grid_import_daily_average_delta_kwh,grid_import_delta_kwh,grid_import_max,grid_import_mean,grid_import_min,grid_import_minus_export_control_kwh,grid_import_ratio_to_baseline,grid_import_total,grid_role_control,individual_reward_max,individual_reward_mean,individual_reward_min,individual_reward_total,net_electricity_consumption_max,net_electricity_consumption_mean,net_electricity_consumption_min,net_electricity_consumption_total,net_exchange_baseline_kwh,net_exchange_control_kwh,net_exchange_delta_kwh,net_exchange_ratio_to_baseline,observation_dim,observation_l2_max,observation_l2_mean,observation_l2_min,observation_l2_total,observation_mean_max,observation_mean_mean,observation_mean_min,observation_mean_total,phase_imbalance_ratio_average,pv_export_daily_average_kwh,pv_export_total_kwh,pv_generation_daily_average_kwh,pv_generation_total_kwh,pv_self_consumption_ratio,team_reward_max,team_reward_mean,team_reward_min,team_reward_total
MAAC,E1,6,1.0,0.11,0.0,11.0,0.1666666666666666,0.0183333333333333,0.0,1.8333333333333333,Building_1,0,100,2.290053856824729e-05,38091.34033203125,35266.12563249203,5.436302502187883,73357.46596452329,2878457.296385424,2896227.962838143,17770.666452719364,353.0396423339844,166.85252716064454,0.0,1.006173677294096,16685.252716064453,0.0,0.0,1715099.8187091467,1718040.1265537976,2940.307844650932,295.8052062988281,105.56729232788086,0.0,1.0017143654337646,10556.729232788086,-0.1714365433764622,572.6766110360622,924.0,37.0,0.495509530324447,0.04004329004329,14.0,0.0151515151515151,242.7498190701008,1757495.1657030582,1776961.7028810978,4815.6049750968605,4868.944042601478,53.33906750461802,19466.53717803955,0.0,0.0,0.0,1.0110762962868534,0.0,3736273.2660420537,3758894.945960343,10237.533780683789,10299.518061770548,61.9842810867611,22621.679918289185,446.8856201171875,211.20572387695316,0.0,1981933.243079245,1.0060546106527837,21120.572387695312,net_importer,-0.5334404706954956,-0.7549082344770431,-0.8706932663917542,-75.49082344770432,446.8856201171875,211.20572387695316,0.0,21120.572387695312,1978778.1003389957,1981933.243079245,3155.142740249634,1.0015944904280625,61,3.411525864499873,3.2529522893305782,2.8730577010485865,325.29522893305784,0.2694150237366557,0.2293919941106287,0.2081949446583166,22.939199411062877,0.0031112991298824,4815.441977040874,1757435.6782042088,9449.55587890279,3448694.164304564,0.4904054710346867,-0.470935046672821,-0.7104156750440598,-0.8457818627357483,-71.04156750440598
MAAC,E1,8,1.0,0.07,0.0,7.0,0.125,0.00875,0.0,0.875,Building_2,1,100,3.728376781976585e-05,2475.3210365772247,2240.4291770272107,9.663422568861549,4715.750213604435,31125.5130261126,32131.39398212079,1005.8809560081936,11.979840278625488,2.7286944326758387,0.0,1.0323169277616184,272.86944326758385,0.0,0.0,-4346.760409203817,-4600.543275698626,-253.78286649480836,6.040714740753174,1.560747730359435,0.0,1.058384369646289,156.0747730359435,,55.26330590248108,542.0,10.0,0.519474538689437,0.018450184501845,8.0,0.014760147601476,15.436620950698853,1952209.458940029,1953229.8188523052,5349.129696833052,5351.925522600221,2.795825767168676,1020.359912276268,0.0,0.0,0.0,1.000522669279981,0.0,40595.37354042102,41890.45184636582,111.23289930016034,114.78146412978418,3.54856482962384,1295.0783059448004,15.16435432434082,3.454043509662151,0.0,-1911339.36700594,1.031902115758469,345.40435096621513,net_exporter,-0.4225744009017944,-0.6667737948894501,-0.8239456415176392,-66.67737948894501,15.16435432434082,3.454043509662151,0.0,345.40435096621513,-1911614.085399608,-1911339.36700594,274.7183936685324,0.9998562898255632,75,3.615567607000432,3.36627649313232,2.87428922931451,336.627649313232,0.2171027636012205,0.1920325160963842,0.1667953407726226,19.203251609638425,0.1031223303622463,5346.997937508714,1951431.4556099512,5424.796181722015,1979824.5731542967,0.0143412289802571,-0.470935046672821,-0.7104156750440598,-0.8457818627357483,-71.04156750440598
MAAC,E1,10,1.0,0.05,0.0,5.0,0.1,-0.003,-0.1,-0.3,Building_3,2,100,2.948825155857286e-05,18779.45540507149,17100.556067993843,7.592046439497532,35880.01147306534,254652.55210272915,264031.70525322855,9379.15315049942,77.5547866821289,29.876965255737304,0.0,1.0368311767270872,2987.6965255737305,0.0,0.0,142783.52584327105,142966.70838014048,183.18253686942623,64.98168182373047,19.04213402748108,0.0,1.0012829388809918,1904.213402748108,-0.1282938880991774,644.3287180960178,2505.0,62.0,0.4790795768830276,0.024750499001996,18.0,0.0071856287425149,305.9484807252884,1293489.00622046,1303580.549838662,3544.210086686955,3571.8613079264637,27.65122123950828,10091.54361820221,0.0,0.0,0.0,1.007801800842273,0.0,330414.40684081614,342523.2300772816,905.3483005114268,938.5269462101562,33.17864569872941,12108.823236465454,98.17061614990234,37.81894218444824,0.0,-961057.3197613806,1.036647382758643,3781.894218444824,net_exporter,-0.5187538862228394,-0.743487691283226,-0.9276435375213624,-74.3487691283226,98.17061614990234,37.81894218444824,0.0,3781.894218444824,-963074.5993796438,-961057.3197613806,2017.2796182632449,0.9979053755341876,89,4.4901501586007,3.5659616417087334,3.1959190941430617,356.5961641708733,0.3054922585092161,0.1877990365920223,0.1436846500019664,18.77990365920224,0.0313593440189367,3533.986243199005,1289757.7293408369,4032.638971789137,1471745.1980792105,0.123654195696298,-0.470935046672821,-0.7104156750440598,-0.8457818627357483,-71.04156750440598
MAAC,E1,8,1.0,0.03,0.0,3.0,0.125,0.00375,0.0,0.375,Building_4,3,100,4.236777883618799e-05,3625.5172161922474,2899.0685403146,7.185667132716791,6524.585756506846,422762.2487609303,424898.6577664688,2136.4090055385022,28.97085189819336,12.801885604858398,0.0,1.0050534526481494,1280.1885604858398,0.0,0.0,259595.5472590605,260041.48474527692,445.9374862164841,19.09270477294922,7.852076587677002,0.0,1.0017178163914016,785.2076587677002,-0.1717816391401605,273.44769605994225,1426.0,35.0,0.5102706432041555,0.0245441795231416,13.0,0.0091164095371669,60.866859555244446,109575.62229266018,111371.96649827808,300.24145850255104,305.1635113550262,4.922052852475136,1796.344205617905,0.0,0.0,0.0,1.0163936482224134,0.0,559961.0671477467,562696.4410672337,1534.3150601148443,1541.8100908338406,7.495030718996231,2735.3739194869995,36.67196273803711,16.204918117523192,0.0,451324.4745689556,1.0048849358999548,1620.491811752319,net_importer,-0.476964384317398,-0.7300684124231338,-0.8696553707122803,-73.00684124231339,36.67196273803711,16.204918117523192,0.0,1620.491811752319,450385.4448550865,451324.4745689556,939.0297138690948,1.0020849468485182,75,3.859729311477998,3.387690512356728,3.1574868435943984,338.7690512356728,0.2913616113364696,0.1985779455011615,0.1687861958948465,19.85779455011615,0.0282955329805455,302.8032604562854,110510.57326402517,1695.2977538090224,618713.0427338844,0.8213863849132448,-0.470935046672821,-0.7104156750440598,-0.8457818627357483,-71.04156750440598
MAAC,E1,5,1.0,0.09,0.0,9.0,0.2,0.018,0.0,1.8,Building_5,4,100,5.0430199642356944e-05,2613.463387945537,2206.780064263352,10.29966549617284,4820.243452208889,294117.26367506635,294818.3149998374,701.0513247710769,42.838016510009766,17.376932830810546,0.0,1.0023835776112264,1737.6932830810547,0.0,0.0,177065.30915871338,176800.3723005008,-264.9368582125753,25.082279205322266,10.675699577331542,0.0,0.9985037336818186,1067.5699577331543,0.149626631818149,203.1743505001068,746.0,37.0,0.4824376031938071,0.049597855227882,15.0,0.0201072386058981,85.91659945249557,91579.66778683104,91949.57899683157,250.9318446037156,251.94541567804055,1.013571074324964,369.911210000515,0.0,0.0,0.0,1.004039228563938,0.0,382703.0473433286,383596.8997052461,1048.621205187794,1051.0703953563086,2.449190168514659,893.8523619174957,54.22533798217773,21.99611724853516,0.0,291647.32070841454,1.0023356290683405,2199.611724853516,net_importer,-0.5123697519302368,-0.7587537658214569,-0.8633559346199036,-75.87537658214569,54.22533798217773,21.99611724853516,0.0,2199.611724853516,291123.3795564976,291647.32070841454,523.9411519169807,1.0017997220034858,54,3.7580787206417066,3.5244316568333884,3.24223419088903,352.44316568333886,0.3553332593618777,0.2966525534311668,0.2595720738172531,29.665255343116687,0.0186512285252654,251.40636001602115,91752.84614084705,735.1028961442805,268281.92780532304,0.6579984090190866,-0.470935046672821,-0.7104156750440598,-0.8457818627357483,-71.04156750440598
MAAC,E1,34,1.0,0.55,0.0,55.0,0.0294117647058823,0.0085294117647058,-0.0294117647058823,0.8529411764705882,Building_6,5,100,5.807964042242324e-05,30566.008666992188,27638.863183743422,11.453142827771666,58204.87185073561,4073884.787976649,4084541.688319266,10656.900342616718,286.6831970214844,139.92936767578124,0.0,1.0026159061675155,13992.936767578123,0.0,0.0,2478269.3087731395,2480418.226243715,2148.9174705753103,232.2628326416016,87.7414567565918,0.0,1.0008671040967856,8774.14567565918,-0.0867104096785642,1106.636382177472,7949.0,170.0,0.5182628472253816,0.0213863379041388,49.0,0.0061642973958988,413.7977807391435,681792.2238496542,691734.8550547361,1868.1371586244663,1895.38035407166,27.24319544719335,9942.63120508194,0.0,0.0,0.0,1.0145830809699503,0.0,5364187.979275584,5377750.595507979,14698.083286061654,14735.245381001429,37.16209493977442,13562.616232395172,362.8901062011719,177.1257763671875,0.0,4686015.740453243,1.0025283633393898,17712.57763671875,net_importer,-0.5233508348464966,-0.7531461489200592,-0.8723830580711365,-75.31461489200592,362.8901062011719,177.1257763671875,0.0,17712.57763671875,4682395.75542593,4686015.740453243,3619.985027313232,1.000773105311126,257,6.861997739793975,3.617620192778008,3.175683794115888,361.76201927780073,0.2382645810846812,0.0712384994890755,0.0504884794640999,7.123849948907558,0.0177312337808237,1874.9939880559457,684294.6808909178,13493.16957921562,4924444.681014567,0.861041249274439,-0.470935046672821,-0.7104156750440598,-0.8457818627357483,-71.04156750440598
MAAC,E1,44,1.0,0.47,0.0,47.0,0.0227272727272727,0.0097727272727272,-0.0227272727272727,0.9772727272727272,Building_7,6,100,1.1498146569110538e-05,3891.7717490230816,2999.2195434570312,3.5015199656911142,6890.991292480113,70808.19472705615,73611.56484282762,2803.370115771468,14.741578102111816,4.335794970989228,0.0,1.0395910406497102,433.57949709892273,0.0,0.0,26957.017277204097,27851.772541713028,894.7552645089308,12.35168743133545,2.879408557415009,0.0,1.0331919238433538,287.94085574150085,-3.31919238433538,2126.7416176199918,7786.0,467.0,0.4955012938116972,0.059979450295402,144.0,0.0184947341381967,259.2542759478092,1911879.859814152,1912811.9059503227,5238.625029745365,5241.1788723379095,2.553842592544242,932.0461361706256,0.0,0.0,0.0,1.000487502460673,0.0,93534.44635817409,97226.53200283648,256.28801376825874,266.4044717511217,10.116457982863013,3692.08564466238,18.66022491455078,5.488347861766815,0.0,-1815585.3739474865,1.0394730047422762,548.8347861766815,net_exporter,-0.4227931797504425,-0.6816582924127579,-0.8500787615776062,-68.16582924127579,18.66022491455078,5.488347861766815,0.0,548.8347861766815,-1818345.413455978,-1815585.3739474865,2760.0395084917545,0.9984821148456904,327,3.604193554904743,3.375259392147099,2.892626409561968,337.5259392147099,0.0509853029341408,0.0457247149861333,0.0406804096602806,4.57247149861333,0.370876376601678,5235.235259379384,1910642.734871001,5476.471463666728,1998683.8979273688,0.0440495683923139,-0.470935046672821,-0.7104156750440598,-0.8457818627357483,-71.04156750440598
MAAC,E1,19,1.0,0.34,0.0,34.0,0.0526315789473684,0.0147368421052631,-0.0526315789473684,1.4736842105263157,Building_8,7,100,1.244586709263466e-05,1982.0638275146484,1799.9913458209503,3.146468530229284,3782.055173335599,35538.59175062464,37041.072483457625,1502.4807328329844,100.40505981445312,5.73839159488678,0.0,1.0422774414747755,573.839159488678,0.0,0.0,-40001.62534366179,-40311.95621802371,-310.33087436192,58.149391174316406,3.711353735923767,0.0,1.0077579566254071,371.1353735923767,,1345.6209635734558,3726.0,226.0,0.4937888897908584,0.060654857756307,77.0,0.0206655931293612,698.6422567665577,4956269.690043926,4957387.992685139,13580.371339314332,13583.435531960651,3.0641926463192792,1118.3026412129402,0.0,0.0,0.0,1.0002256339366398,0.0,46882.51323875599,48829.86828330718,128.45990612286147,133.79573453583427,5.335828412972788,1947.3550445511935,127.09500885009766,7.263786625862122,0.0,-4908558.124401832,1.0415369166459572,726.3786625862122,net_exporter,-0.4226259589195251,-0.6802236801385879,-0.836731493473053,-68.0223680138588,127.09500885009766,7.263786625862122,0.0,726.3786625862122,-4909387.17680517,-4908558.124401832,829.0524033382535,0.9998311291463718,152,3.622220835059784,3.367614564247652,2.833525731401727,336.7614564247652,0.1088675974838195,0.0973237366471439,0.0834279624204481,9.732373664714398,0.2786402779755559,13578.658235656274,4955644.478588054,13685.128376618246,4994501.6437833,0.0077799884686417,-0.470935046672821,-0.7104156750440598,-0.8457818627357483,-71.04156750440598
MAAC,E1,12,1.0,0.07,0.0,7.0,0.0833333333333333,0.0058333333333333,0.0,0.5833333333333333,Building_9,8,100,3.333054277217231e-05,1336.133678591606,1133.0143076919658,8.946188356099897,2469.147986283572,19495.7182597439,20094.53026497364,598.8120052297418,1.9360077381134035,0.901576727628708,0.0,1.0307150522618194,90.1576727628708,0.0,0.0,-636.8875433562586,-729.5296491869277,-92.64210583066917,1.6221439838409424,0.5498733747005463,0.0,1.145460696785598,54.98733747005463,,219.4257254600525,1847.0,43.0,0.513814132001135,0.0232809962100703,11.0,0.0059556036816459,63.638105392456055,1081824.460236635,1082235.530195322,2964.241014462752,2965.3673621061453,1.126347643393525,411.0699586868286,0.0,0.0,0.0,1.000379978428845,0.0,25356.53052830696,26126.507427752014,69.47787791749825,71.58764451033777,2.109766592839521,769.9768994450569,2.4506425857543945,1.1412363243103028,0.0,-1056109.02276757,1.0303660194593849,114.12363243103027,net_exporter,-0.4316991567611694,-0.6508134087920189,-0.7829138040542603,-65.08134087920189,2.4506425857543945,1.1412363243103028,0.0,114.12363243103027,-1056467.929708328,-1056109.02276757,358.9069407582283,0.9996602765397172,103,4.478752107115603,3.593417921010288,3.109281712715386,359.3417921010288,0.2591377868545505,0.1609897981396929,0.145665575873177,16.09897981396929,0.1247784032668262,2963.035203029271,1081384.3893055576,3007.09433368956,1097464.136199452,0.0146517288023451,-0.470935046672821,-0.7104156750440598,-0.8457818627357483,-71.04156750440598
MAAC,E1,8,1.0,0.25,0.0,25.0,0.125,0.02125,-0.125,2.125,Building_10,9,100,8.669824448366132e-06,7764.191542645378,5608.431870405634,2.841611434987465,13372.623413051013,448256.38428209774,452497.1920200586,4240.807737960888,40.803165435791016,13.344590663909912,0.0,1.0094606744859924,1334.4590663909912,0.0,0.0,277195.822692316,278153.83953561785,958.0168433018262,22.726659774780277,8.131368169784546,0.0,1.0034561013005063,813.1368169784546,-0.3456101300506296,787.8329135775566,1298.0,31.0,0.5006401071599942,0.0238828967642526,8.0,0.0061633281972265,516.7009543087333,2954856.6090607643,2957881.0682473183,8096.421808135443,8104.708943707688,8.287135572245111,3024.459186553955,0.0,0.0,0.0,1.0010235553147586,0.0,595539.0102915764,600990.3619775772,1631.8000053656622,1646.7369205916034,14.936915225941291,5451.351686000824,51.64957427978516,16.891886405944824,0.0,-2356890.706269741,1.009153643324443,1689.1886405944824,net_exporter,-0.4469242691993713,-0.721702348291874,-0.8695914149284363,-72.1702348291874,51.64957427978516,16.891886405944824,0.0,1689.1886405944824,-2359317.598769188,-2356890.706269741,2426.892499446869,0.99897135828567,75,3.5734315731139072,3.344830239396696,2.871605656219483,334.4830239396696,0.2205272250068493,0.1922597120763757,0.1719381736997419,19.225971207637578,0.0376615125348141,8097.012517234416,2955072.19326901,9646.279287943597,3520490.0117957485,0.1606077042207903,-0.470935046672821,-0.7104156750440598,-0.8457818627357483,-71.04156750440598
