algorithm,scenario,cost_function,level,name,value
MAAC,E3,building_battery_health_capacity_fade_ratio,building,Building_11,5.288078787404798e-05
MAAC,E3,building_battery_health_equivalent_full_cycles_count,building,Building_11,13.136431997278525
MAAC,E3,building_battery_health_capacity_fade_ratio,building,Building_12,3.999212288970503e-05
MAAC,E3,building_battery_health_equivalent_full_cycles_count,building,Building_12,10.496442965734008
MAAC,E3,building_battery_health_capacity_fade_ratio,building,Building_13,3.175061021711572e-05
MAAC,E3,building_battery_health_equivalent_full_cycles_count,building,Building_13,8.145659031738608
MAAC,E3,building_battery_health_capacity_fade_ratio,building,Building_14,5.420740421657695e-05
MAAC,E3,building_battery_health_equivalent_full_cycles_count,building,Building_14,14.050851036577855
MAAC,E3,building_battery_health_capacity_fade_ratio,building,Building_15,3.081704384555905e-05
MAAC,E3,building_battery_health_equivalent_full_cycles_count,building,Building_15,7.942126626354341
MAAC,E3,building_battery_health_capacity_fade_ratio,building,Building_16,4.365222415960436e-05
MAAC,E3,building_battery_health_equivalent_full_cycles_count,building,Building_16,11.718129833103427
MAAC,E3,building_battery_health_capacity_fade_ratio,building,Building_17,4.862794744619117e-05
MAAC,E3,building_battery_health_equivalent_full_cycles_count,building,Building_17,12.40312450927357
MAAC,E3,building_battery_health_capacity_fade_ratio,building,Building_2,1.7918661757291235e-05
MAAC,E3,building_battery_health_equivalent_full_cycles_count,building,Building_2,5.645448568049479
MAAC,E3,building_battery_health_capacity_fade_ratio,building,Building_3,4.599357689593002e-05
MAAC,E3,building_battery_health_equivalent_full_cycles_count,building,Building_3,11.590962780335142
MAAC,E3,building_battery_health_capacity_fade_ratio,building,Building_4,0.0001670265579145
MAAC,E3,building_battery_health_equivalent_full_cycles_count,building,Building_4,24.467966165963052
MAAC,E3,building_battery_health_capacity_fade_ratio,building,Building_5,9.061854375779098e-05
MAAC,E3,building_battery_health_equivalent_full_cycles_count,building,Building_5,17.445985771215895
MAAC,E3,building_battery_health_capacity_fade_ratio,building,Building_6,7.521461167803325e-05
MAAC,E3,building_battery_health_equivalent_full_cycles_count,building,Building_6,14.9502722096278
MAAC,E3,building_battery_health_capacity_fade_ratio,building,Building_7,4.113945255943787e-05
MAAC,E3,building_battery_health_equivalent_full_cycles_count,building,Building_7,10.200529873305442
MAAC,E3,building_battery_health_capacity_fade_ratio,building,Building_8,3.3128853717316694e-05
MAAC,E3,building_battery_health_equivalent_full_cycles_count,building,Building_8,9.408678908794792
MAAC,E3,building_battery_health_capacity_fade_ratio,building,Building_9,4.088891697134004e-05
MAAC,E3,building_battery_health_equivalent_full_cycles_count,building,Building_9,10.662122273853306
MASAC,E1,building_battery_health_capacity_fade_ratio,building,Building_1,4.442843512489548e-05
MASAC,E1,building_battery_health_equivalent_full_cycles_count,building,Building_1,10.979304673599088
MASAC,E1,building_battery_health_capacity_fade_ratio,building,Building_10,5.666493842578151e-05
MASAC,E1,building_battery_health_equivalent_full_cycles_count,building,Building_10,12.877100622706584
MASAC,E1,building_battery_health_capacity_fade_ratio,building,Building_11,3.071727300716705e-05
MASAC,E1,building_battery_health_equivalent_full_cycles_count,building,Building_11,7.917975973516369
MASAC,E1,building_battery_health_capacity_fade_ratio,building,Building_12,5.241532822502448e-05
MASAC,E1,building_battery_health_equivalent_full_cycles_count,building,Building_12,12.902937395960176
MASAC,E1,building_battery_health_capacity_fade_ratio,building,Building_13,5.370608043557301e-05
MASAC,E1,building_battery_health_equivalent_full_cycles_count,building,Building_13,12.352979667702076
MASAC,E1,building_battery_health_capacity_fade_ratio,building,Building_14,3.760713119769648e-05
MASAC,E1,building_battery_health_equivalent_full_cycles_count,building,Building_14,9.610059427983362
MASAC,E1,building_battery_health_capacity_fade_ratio,building,Building_15,3.666632975352968e-05
MASAC,E1,building_battery_health_equivalent_full_cycles_count,building,Building_15,9.36946676142498
MASAC,E1,building_battery_health_capacity_fade_ratio,building,Building_16,4.386552956899966e-05
MASAC,E1,building_battery_health_equivalent_full_cycles_count,building,Building_16,11.046767994163568
MASAC,E1,building_battery_health_capacity_fade_ratio,building,Building_17,4.0784659389109e-05
MASAC,E1,building_battery_health_equivalent_full_cycles_count,building,Building_17,10.155167762023275
MASAC,E1,building_battery_health_capacity_fade_ratio,building,Building_2,3.978624801028147e-05
