algorithm,scenario,file,exists,bytes,path
MAAC,E1,trace.csv,True,688417,outputs/_drive_madrl/full_data/MAAC/E1/data/trace.csv
MAAC,E1,building_kpis.csv,True,112209,outputs/_drive_madrl/full_data/MAAC/E1/data/building_kpis.csv
MAAC,E1,building_behavior_summary.csv,True,28662,outputs/_drive_madrl/full_data/MAAC/E1/data/building_behavior_summary.csv
MAAC,E1,building_observation_action_schema.csv,True,314287,outputs/_drive_madrl/full_data/MAAC/E1/data/building_observation_action_schema.csv
MAAC,E1,building_trace_sample.csv,True,49398,outputs/_drive_madrl/full_data/MAAC/E1/data/building_trace_sample.csv
MAAC,E1,checkpoint_manifest.json,True,16846,outputs/_drive_madrl/full_data/MAAC/E1/data/checkpoint_manifest.json
MAAC,E1,results.json,True,199311,outputs/_drive_madrl/full_data/MAAC/E1/data/results.json
MAAC,E1,training_summary.json,True,178182,outputs/_drive_madrl/full_data/MAAC/E1/data/training_summary.json
MAAC,E2,timeseries.csv,True,105417067,outputs/_drive_madrl/full_data/MAAC/E2/data/timeseries.csv
MAAC,E2,trace.csv,True,687974,outputs/_drive_madrl/full_data/MAAC/E2/data/trace.csv
MAAC,E2,building_kpis.csv,True,112183,outputs/_drive_madrl/full_data/MAAC/E2/data/building_kpis.csv
MAAC,E2,building_behavior_summary.csv,True,28532,outputs/_drive_madrl/full_data/MAAC/E2/data/building_behavior_summary.csv
MAAC,E2,building_observation_action_schema.csv,True,314287,outputs/_drive_madrl/full_data/MAAC/E2/data/building_observation_action_schema.csv
MAAC,E2,building_trace_sample.csv,True,49307,outputs/_drive_madrl/full_data/MAAC/E2/data/building_trace_sample.csv
MAAC,E2,checkpoint_manifest.json,True,16846,outputs/_drive_madrl/full_data/MAAC/E2/data/checkpoint_manifest.json
MAAC,E2,results.json,True,198778,outputs/_drive_madrl/full_data/MAAC/E2/data/results.json
MAAC,E2,training_summary.json,True,177644,outputs/_drive_madrl/full_data/MAAC/E2/data/training_summary.json
MAAC,E3,timeseries.csv,True,105177625,outputs/_drive_madrl/full_data/MAAC/E3/data/timeseries.csv
MAAC,E3,trace.csv,True,688651,outputs/_drive_madrl/full_data/MAAC/E3/data/trace.csv
MAAC,E3,building_kpis.csv,True,112191,outputs/_drive_madrl/full_data/MAAC/E3/data/building_kpis.csv
MAAC,E3,building_behavior_summary.csv,True,28553,outputs/_drive_madrl/full_data/MAAC/E3/data/building_behavior_summary.csv
MAAC,E3,building_observation_action_schema.csv,True,314287,outputs/_drive_madrl/full_data/MAAC/E3/data/building_observation_action_schema.csv
MAAC,E3,building_trace_sample.csv,True,49395,outputs/_drive_madrl/full_data/MAAC/E3/data/building_trace_sample.csv
MAAC,E3,checkpoint_manifest.json,True,16842,outputs/_drive_madrl/full_data/MAAC/E3/data/checkpoint_manifest.json
MAAC,E3,results.json,True,199295,outputs/_drive_madrl/full_data/MAAC/E3/data/results.json
MAAC,E3,training_summary.json,True,178163,outputs/_drive_madrl/full_data/MAAC/E3/data/training_summary.json
HAPPO,E1,timeseries.csv,True,104205571,outputs/_drive_madrl/full_data/HAPPO/E1/data/timeseries.csv
HAPPO,E1,trace.csv,True,738646,outputs/_drive_madrl/full_data/HAPPO/E1/data/trace.csv
HAPPO,E1,building_kpis.csv,False,0,outputs/_drive_madrl/full_data/HAPPO/E1/data/building_kpis.csv
HAPPO,E1,building_behavior_summary.csv,False,0,outputs/_drive_madrl/full_data/HAPPO/E1/data/building_behavior_summary.csv
HAPPO,E1,building_observation_action_schema.csv,False,0,outputs/_drive_madrl/full_data/HAPPO/E1/data/building_observation_action_schema.csv
HAPPO,E1,building_trace_sample.csv,False,0,outputs/_drive_madrl/full_data/HAPPO/E1/data/building_trace_sample.csv
HAPPO,E1,checkpoint_manifest.json,False,0,outputs/_drive_madrl/full_data/HAPPO/E1/data/checkpoint_manifest.json
HAPPO,E1,results.json,True,2617,outputs/_drive_madrl/full_data/HAPPO/E1/data/results.json
HAPPO,E1,training_summary.json,True,30351,outputs/_drive_madrl/full_data/HAPPO/E1/data/training_summary.json
HAPPO,E2,timeseries.csv,True,104140594,outputs/_drive_madrl/full_data/HAPPO/E2/data/timeseries.csv
HAPPO,E2,trace.csv,True,739904,outputs/_drive_madrl/full_data/HAPPO/E2/data/trace.csv
HAPPO,E2,building_kpis.csv,False,0,outputs/_drive_madrl/full_data/HAPPO/E2/data/building_kpis.csv
HAPPO,E2,building_behavior_summary.csv,False,0,outputs/_drive_madrl/full_data/HAPPO/E2/data/building_behavior_summary.csv
HAPPO,E2,building_observation_action_schema.csv,False,0,outputs/_drive_madrl/full_data/HAPPO/E2/data/building_observation_action_schema.csv
HAPPO,E2,building_trace_sample.csv,False,0,outputs/_drive_madrl/full_data/HAPPO/E2/data/building_trace_sample.csv
HAPPO,E2,checkpoint_manifest.json,False,0,outputs/_drive_madrl/full_data/HAPPO/E2/data/checkpoint_manifest.json
HAPPO,E2,results.json,True,2617,outputs/_drive_madrl/full_data/HAPPO/E2/data/results.json
HAPPO,E2,training_summary.json,True,30351,outputs/_drive_madrl/full_data/HAPPO/E2/data/training_summary.json
HAPPO,E3,timeseries.csv,True,103933962,outputs/_drive_madrl/full_data/HAPPO/E3/data/timeseries.csv
HAPPO,E3,trace.csv,True,739599,outputs/_drive_madrl/full_data/HAPPO/E3/data/trace.csv
HAPPO,E3,building_kpis.csv,False,0,outputs/_drive_madrl/full_data/HAPPO/E3/data/building_kpis.csv
HAPPO,E3,building_behavior_summary.csv,False,0,outputs/_drive_madrl/full_data/HAPPO/E3/data/building_behavior_summary.csv
HAPPO,E3,building_observation_action_schema.csv,False,0,outputs/_drive_madrl/full_data/HAPPO/E3/data/building_observation_action_schema.csv
HAPPO,E3,building_trace_sample.csv,False,0,outputs/_drive_madrl/full_data/HAPPO/E3/data/building_trace_sample.csv
HAPPO,E3,checkpoint_manifest.json,False,0,outputs/_drive_madrl/full_data/HAPPO/E3/data/checkpoint_manifest.json
HAPPO,E3,results.json,True,2617,outputs/_drive_madrl/full_data/HAPPO/E3/data/results.json
HAPPO,E3,training_summary.json,True,30351,outputs/_drive_madrl/full_data/HAPPO/E3/data/training_summary.json
