algorithm,scenario,agent,agent_index,trace_rows,action_l2_mean,action_l2_max,action_mean,individual_reward_mean,individual_reward_sum,grid_import_kwh,grid_export_kwh,battery_consumption_kwh,battery_energy_balance_kwh,ev_charge_kwh,ev_consumption_kwh,ev_v2g_export_kwh,pv_generation_kwh,pv_export_kwh
HAPPO,E1,Building_1,0,98,1.6845042525837672,2.449489742783178,0.07222362486075382,-0.7538288165720142,-73.87522402405739,13283.18002319336,6678.957550048828,-14027.596344673198,0.0,0.0,0.0,0.0,4542.808760465622,0.0
HAPPO,E1,Building_10,9,98,2.317908042740338,2.8284271247461903,0.1668356602099173,-0.7300727893503345,-71.54713335633278,1655.3188724517822,944.3530426025391,-908.6910629713966,0.0,0.0,0.0,0.0,4640.6653974065775,0.0
HAPPO,E1,Building_11,10,98,1.8564521274331727,2.168354900794097,0.3775289512296416,-0.7704486366437406,-75.50396639108658,9033.392070770264,0.0,5815.189969258979,0.0,0.0,0.0,0.0,13761.06470701523,0.0
HAPPO,E1,Building_12,11,98,1.6497917981809518,2.0,0.23039368519521486,-0.736843043444108,-72.21061825752258,4611.280647277832,14119.214614868164,-18458.60325241089,0.0,0.0,0.0,0.0,5938.432074022293,0.0
HAPPO,E1,Building_13,12,98,1.9832698407918514,2.8934983900639235,0.18433232357786905,-0.6785330316241907,-66.49623709917068,116.34514473378658,167.3091220855713,-124.53418094362843,0.0,0.0,0.0,0.0,870.5473099121093,0.0
HAPPO,E1,Building_14,13,98,1.7155551869709353,2.23606797749979,0.0791712612369839,-0.698908347560435,-68.49301806092262,244.4379516839981,519.7725690603256,-377.6656968276948,0.0,0.0,0.0,0.0,5788.474978814315,0.0
HAPPO,E1,Building_15,14,98,1.8815780643005098,2.3359470883708493,0.047989976398494755,-0.7051268165208855,-69.10242801904678,587.7443122863768,280.92594146728516,-581.6477856641263,0.0,0.0,0.0,0.0,3185.8068338043217,0.0
HAPPO,E1,Building_16,15,98,2.407511192874351,2.8987967169001947,0.38802384061656975,-0.7350994549235519,-72.03974658250809,2573.3649253845215,112.70517158508301,-88.66082281133639,0.0,0.0,0.0,0.0,3316.2707767959596,0.0
HAPPO,E1,Building_17,16,98,2.2806472246049903,2.780508536479032,0.3350379922773742,-0.7591005600228602,-74.3918548822403,4017.070369720459,252.35747909545898,2669.810505435766,0.0,0.0,0.0,0.0,519.0440852289199,0.0
HAPPO,E1,Building_2,1,98,1.7494388805431236,2.3613623689428165,0.1804746325479402,-0.7025673991563369,-68.85160511732101,590.5438086688519,80.71506786346436,185.0227418903503,0.0,0.0,0.0,0.0,2601.265751953125,0.0
HAPPO,E1,Building_3,2,98,2.2640069533628786,2.670671966952982,0.28244613740802266,-0.7634806937100936,-74.82110798358917,5410.417964935303,174.82107543945312,1607.4042955804002,0.0,0.0,0.0,0.0,1908.7637908855438,0.0
HAPPO,E1,Building_4,3,98,1.575381749182185,2.6457513110645907,0.20700719362428902,-0.7550634656633649,-73.99621963500977,1814.2111625671387,98.32135772705078,118.61337075993033,0.0,0.0,0.0,0.0,809.0598532524109,0.0
HAPPO,E1,Building_5,4,98,1.7165654311109722,2.0,0.2818540282319395,-0.7682264985478654,-75.28619685769081,2347.385627746582,0.0,216.37451516318833,0.0,0.0,0.0,0.0,336.63464343547827,0.0
HAPPO,E1,Building_6,5,98,4.225538559318762,4.880283615381306,0.4056569857491819,-0.7582073838126903,-74.30432361364365,11812.95718383789,1888.0574645996094,-7422.793021321297,0.0,0.0,0.0,0.0,6740.265884397125,0.0
HAPPO,E1,Building_7,6,98,3.9780361089707053,5.040789122083236,0.32357102292018564,-0.7249196983721792,-71.04213044047356,3384.187252521515,77.05253601074219,2786.6441674288017,0.0,0.0,0.0,0.0,2584.407702050972,0.0
HAPPO,E1,Building_8,7,98,2.8818671368433537,3.582920435578674,0.25878249861427033,-0.7301229159442746,-71.55204576253891,3371.081293106079,107.65316390991211,2683.06324218519,0.0,0.0,0.0,0.0,6864.141457635879,0.0
HAPPO,E1,Building_9,8,98,2.087622901751633,2.5827339407842054,0.3365477435449201,-0.6882423092516101,-67.44774630665779,47.38027834892273,325.0240750312805,-390.83158746515676,0.0,0.0,0.0,0.0,1418.3546435863493,0.0
HAPPO,E2,Building_1,0,98,1.6262624158753924,2.433944823964126,-0.02895029219893776,-0.6124467458956095,-60.01978109776974,9400.557342529297,14222.579162597656,-25453.84068495035,0.0,0.0,0.0,0.0,4542.808760465622,0.0
HAPPO,E2,Building_10,9,98,2.332710227801125,2.8284271247461903,0.2271814075089535,-0.5701756690229688,-55.877215564250946,808.5403079986572,8371.408149719238,-9182.524608765534,0.0,0.0,0.0,0.0,4640.6653974065775,0.0
HAPPO,E2,Building_11,10,98,1.7163182440322569,2.21667038205846,0.2026854828570266,-0.5677215548194184,-55.63671237230301,3430.9362258911133,2962.7509155273438,-2750.0168039798737,0.0,0.0,0.0,0.0,13761.06470701523,0.0
HAPPO,E2,Building_12,11,98,1.5998789613580642,2.0,0.31113388940539893,-0.5543359849525957,-54.324926525354385,1292.9800567626953,20545.01597595215,-28202.70508956909,0.0,0.0,0.0,0.0,5938.432074022293,0.0
HAPPO,E2,Building_13,12,98,2.230055066863404,3.0,0.18634053848075618,-0.4601108387720828,-45.090862199664116,106.76259706914425,205.52063369750977,-172.32823971578512,0.0,0.0,0.0,0.0,870.5473099121093,0.0
