algorithm,scenario,axis,kpi,value,baseline,delta_vs_baseline,improved_vs_baseline,lower_is_better,available,source,run_path
MAAC,E1,OE1,pv_self_consumption_ratio,0.1790606318207859,,,,False,True,objective_kpis.csv,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MAAC\E1
MAAC,E1,OE1,ramping_average,1.010993644889474,1.0,0.010993644889474,False,True,True,objective_kpis.csv,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MAAC\E1
MAAC,E1,OE1,zero_net_energy,0.9986756010334868,1.0,-0.0013243989665132,True,True,True,objective_kpis.csv,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MAAC\E1
MAAC,E1,OE2,carbon_emissions,1.0279904744395534,1.0,0.0279904744395533,False,True,True,objective_kpis.csv,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MAAC\E1
MAAC,E1,OE2,carbon_emissions_baseline,10417463.817999348,,,,True,True,objective_kpis.csv,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MAAC\E1
MAAC,E1,OE2,carbon_emissions_control,10494384.743438182,10417463.817999348,76920.92543883435,False,True,True,objective_kpis.csv,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MAAC\E1
MAAC,E1,OE2,carbon_emissions_daily_average_baseline,28544.255238267426,,,,True,True,objective_kpis.csv,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MAAC\E1
MAAC,E1,OE2,carbon_emissions_daily_average_control,28755.02155982605,28544.255238267426,210.766321558629,False,True,True,objective_kpis.csv,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MAAC\E1
MAAC,E1,OE2,carbon_emissions_daily_average_delta,210.76632155862825,0.0,210.76632155862825,False,True,True,objective_kpis.csv,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MAAC\E1
MAAC,E1,OE2,carbon_emissions_delta,38565.84588019649,0.0,38565.84588019649,False,True,True,objective_kpis.csv,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MAAC\E1
MAAC,E1,OE3,cost_one_minus_load_factor_average,0.9955821162398272,1.0,-0.0044178837601729,True,True,True,objective_kpis.csv,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MAAC\E1
MAAC,E1,OE3,cost_peak_average,1.0307016374943516,1.0,0.0307016374943516,False,True,True,objective_kpis.csv,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MAAC\E1
MAAC,E1,OE3,cost_ramping_average,1.010993644889474,1.0,0.010993644889474,False,True,True,objective_kpis.csv,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MAAC\E1
MAAC,E1,OE3,electricity_cost,1.001224116074091,1.0,0.0012241160740908,False,True,True,objective_kpis.csv,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MAAC\E1
MAAC,E1,OE3,electricity_cost_baseline,5911410.430769732,,,,True,True,objective_kpis.csv,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MAAC\E1
