algorithm,mean_score,score_E1_OE1,score_E2_OE2,score_E3_OE3
MATD3,-0.2409506318544019,-0.08683962328887807,-0.41010584595486,-0.22590642631946764
MAAC,-0.24379554205105358,-0.08877804446842204,-0.414810066673286,-0.22779851501145268
MASAC,-0.30492165650688613,-0.2620870520576241,-0.4171443155378317,-0.23553360192520253
