absolute_net_energy_total,carbon_emissions_total,electricity_cost_total,episode,grid_import_total,return_per_cost,return_per_grid_import,return_per_kgco2,return_total,steps
,,,0,,,,,-80104.74785601732,1
,,,1,,,,,-81361.97553642682,1
,,,2,,,,,-80104.74785601732,1
,,,3,,,,,-81356.92797949008,1
,,,4,,,,,-77445.99194095447,1
,,,5,,,,,-79816.03633333693,1
,,,6,,,,,-80104.74785601732,1
,,,7,,,,,-81339.79652073077,1
,,,8,,,,,-80104.74785601732,1
,,,9,,,,,-81339.79652073077,1
,,,10,,,,,-80980.19846536257,1
,,,11,,,,,-77132.1572860112,1
,,,12,,,,,-79753.64148968176,1
,,,13,,,,,-81072.89495964885,1
,,,14,,,,,-77413.9926364812,1
,,,15,,,,,-79758.72916695195,1
,,,16,,,,,-80795.60246610318,1
,,,17,,,,,-77370.67305033731,1
,,,18,,,,,-79723.52429464363,1
,,,19,,,,,-80602.05149616668,1
,,,20,,,,,-76899.31673276775,1
,,,21,,,,,-79286.42844775267,1
,,,22,,,,,-80395.06706622984,1
,,,23,,,,,-76882.66382795801,1
,,,24,,,,,-79498.82041596656,1
,,,25,,,,,-80772.20335911008,1
,,,26,,,,,-77258.6887494826,1
,,,27,,,,,-79743.67511595009,1
,,,28,,,,,-81070.7256838718,1
,,,29,,,,,-77581.95713080504,1
,,,30,,,,,-80031.41731004001,1
,,,31,,,,,-81126.00036767755,1
,,,32,,,,,-77597.65204909396,1
,,,33,,,,,-79977.2155657676,1
,,,34,,,,,-81017.76306543761,1
,,,35,,,,,-77386.42524592602,1
,,,36,,,,,-79786.46444566181,1
,,,37,,,,,-80818.8173395494,1
,,,38,,,,,-77307.21272751236,1
,,,39,,,,,-79581.78161477573,1
,,,40,,,,,-80577.73974730211,1
,,,41,,,,,-77025.98738696793,1
,,,42,,,,,-79416.74518396125,1
,,,43,,,,,-80441.57346863375,1
,,,44,,,,,-76993.89356944454,1
,,,45,,,,,-79430.56547327238,1
,,,46,,,,,-80560.31212725869,1
,,,47,,,,,-77149.16677016467,1
,,,48,,,,,-79547.6098524947,1
,,,49,,,,,-80417.33705807471,1
