absolute_net_energy_total,carbon_emissions_total,electricity_cost_total,episode,grid_import_total,return_per_cost,return_per_grid_import,return_per_kgco2,return_total,steps
1433.7307386398315,1132.647338628769,763.4552472829819,0,1433.7307386398315,-106.59098215984228,-56.759224343742815,-71.84711592709634,-81377.4446429783,8760
1171.8288995027542,925.7448526099324,623.9936723709106,1,1171.8288995027542,-124.28838642445368,-66.18301247815181,-83.77596317106175,-77555.16667804969,8760
1442.4945785999298,1139.5707498788834,768.1219453811646,2,1442.4945785999298,-103.84988025667045,-55.2995992038861,-69.999490649293,-79769.3720503547,8760
1433.71560049057,1132.6353516578674,763.4471765756607,3,1433.71560049057,-106.10282121676556,-56.4992800921849,-71.51807434412522,-81003.89928465178,8760
1171.8288741111755,925.7448316290975,623.993659734726,4,1171.8288741111755,-124.07191213479511,-66.06774097625711,-83.63004996423761,-77420.08652327616,8760
