cost_function,level,name,value
building_battery_total_charge_kwh,building,Building_10,1253.8736981519314
building_battery_total_discharge_kwh,building,Building_10,0.0
building_battery_total_throughput_kwh,building,Building_10,1253.8736981519314
building_comfort_resilience_discomfort_cold_delta_average_c,building,Building_10,0.0
building_comfort_resilience_discomfort_cold_delta_max_c,building,Building_10,0.0
building_comfort_resilience_discomfort_cold_delta_min_c,building,Building_10,0.0
building_comfort_resilience_discomfort_cold_ratio,building,Building_10,nan
building_comfort_resilience_discomfort_hot_delta_average_c,building,Building_10,0.0
building_comfort_resilience_discomfort_hot_delta_max_c,building,Building_10,0.0
building_comfort_resilience_discomfort_hot_delta_min_c,building,Building_10,0.0
building_comfort_resilience_discomfort_hot_ratio,building,Building_10,nan
building_comfort_resilience_discomfort_overall_ratio,building,Building_10,nan
building_comfort_resilience_resilience_one_minus_thermal_ratio,building,Building_10,nan
building_comfort_resilience_resilience_unserved_energy_annual_normalized_ratio,building,Building_10,0.0
building_comfort_resilience_resilience_unserved_energy_outage_normalized_ratio,building,Building_10,nan
building_cost_daily_average_baseline_eur,building,Building_10,723.9521379176848
building_cost_daily_average_control_eur,building,Building_10,750.9464211082271
building_cost_daily_average_delta_eur,building,Building_10,26.99428319054238
building_cost_ratio_to_baseline_total_ratio,building,Building_10,1.0372873865227976
building_cost_total_baseline_eur,building,Building_10,264212.3656675417
building_cost_total_control_eur,building,Building_10,274064.15427029005
building_cost_total_delta_eur,building,Building_10,9851.788602748362
building_electrical_service_phase_imbalance_phase_average_ratio,building,Building_10,0.06567561704726856
building_electrical_service_phase_phase_peaks_export_peak_l1_kw,building,Building_10,854.6658935546875
building_electrical_service_phase_phase_peaks_export_peak_l2_kw,building,Building_10,857.6658935546875
building_electrical_service_phase_phase_peaks_export_peak_l3_kw,building,Building_10,865.0658569335938
building_electrical_service_phase_phase_peaks_import_peak_l1_kw,building,Building_10,353.4425048828125
building_electrical_service_phase_phase_peaks_import_peak_l2_kw,building,Building_10,350.4425048828125
building_electrical_service_phase_phase_peaks_import_peak_l3_kw,building,Building_10,343.04248046875
building_electrical_service_phase_violations_energy_total_kwh,building,Building_10,0.0
building_electrical_service_phase_violations_event_count,building,Building_10,0.0
building_emissions_daily_average_baseline_kgco2,building,Building_10,1097.5605453947794
building_emissions_daily_average_control_kgco2,building,Building_10,1135.7602879534793
building_emissions_daily_average_delta_kgco2,building,Building_10,38.19974255869982
building_emissions_ratio_to_baseline_total_ratio,building,Building_10,1.0348042235291537
building_emissions_total_baseline_kgco2,building,Building_10,400563.86737970304
building_emissions_total_control_kgco2,building,Building_10,414505.1817576885
building_emissions_total_delta_kgco2,building,Building_10,13941.314377985487
building_energy_grid_daily_average_export_baseline_kwh,building,Building_10,8106.596474619105
building_energy_grid_daily_average_export_control_kwh,building,Building_10,8101.223129150517
building_energy_grid_daily_average_export_delta_kwh,building,Building_10,-5.373345468588406
building_energy_grid_daily_average_import_baseline_kwh,building,Building_10,1463.1099922375288
building_energy_grid_daily_average_import_control_kwh,building,Building_10,1514.7965359172263
building_energy_grid_daily_average_import_delta_kwh,building,Building_10,51.68654367969739
building_energy_grid_daily_average_net_exchange_baseline_kwh,building,Building_10,-6643.486482381576
building_energy_grid_daily_average_net_exchange_control_kwh,building,Building_10,-6586.42659323329
building_energy_grid_daily_average_net_exchange_delta_kwh,building,Building_10,57.05988914828579
building_energy_grid_ratio_to_baseline_export_total_ratio,building,Building_10,0.9993371638164781
building_energy_grid_ratio_to_baseline_import_total_ratio,building,Building_10,1.03532649216663
building_energy_grid_ratio_to_baseline_net_exchange_total_ratio,building,Building_10,0.9914111529692116
building_energy_grid_total_export_baseline_kwh,building,Building_10,2958569.938382864
building_energy_grid_total_export_control_kwh,building,Building_10,2956608.8911762238
building_energy_grid_total_export_delta_kwh,building,Building_10,-1961.0472066402435
building_energy_grid_total_import_baseline_kwh,building,Building_10,533974.1842503548
building_energy_grid_total_import_control_kwh,building,Building_10,552837.6190874577
building_energy_grid_total_import_delta_kwh,building,Building_10,18863.43483710289
building_energy_grid_total_net_exchange_baseline_kwh,building,Building_10,-2424595.754132509
building_energy_grid_total_net_exchange_control_kwh,building,Building_10,-2403771.272088766
building_energy_grid_total_net_exchange_delta_kwh,building,Building_10,20824.482043743134
building_equity_benefit_relative_percent,building,Building_10,-3.7287386522797585
building_ev_events_departure_count,building,Building_10,1298.0
building_ev_events_departure_met_count,building,Building_10,869.0
building_ev_events_departure_within_tolerance_count,building,Building_10,24.0
