rank,algorithm,closeness,distance_positive,distance_negative
1,MAAC,0.7827797262140223,0.06897279006722096,0.24855185376587866
2,MASAC,0.5041849474823519,0.14887264779716392,0.15138577929418567
3,MATD3,0.3641119420881727,0.22313160827574613,0.12776601513375926
