metric,value
battery_capacity_fade_ratio,5.1551216801694945e-05
battery_charge_total,360255.59183450975
battery_discharge_total,310237.8840614498
battery_equivalent_full_cycles,12.763524630624374
battery_throughput_total,670493.4758959597
carbon_emissions,1.037759101084779
carbon_emissions_baseline,10932067.894445635
carbon_emissions_control,11078731.103010576
carbon_emissions_daily_average_baseline,29954.290383228137
carbon_emissions_daily_average_control,30356.153267753605
carbon_emissions_daily_average_delta,401.8628845254687
carbon_emissions_delta,73532.53572473316
community_import_share,0.0981411215614809
community_local_traded_daily_average,3544.1316805847932
community_local_traded_total,1293460.3912600917
cost_one_minus_load_factor_average,0.9819840172895822
cost_peak_average,1.1170323615944113
cost_ramping_average,1.019383469172229
electricity_cost,1.0032894257156826
electricity_cost_baseline,9617066.114568051
electricity_cost_control,9648700.73915473
electricity_cost_daily_average_baseline,26351.134461654667
electricity_cost_daily_average_control,26437.814560990242
electricity_cost_daily_average_delta,86.6800993355745
electricity_cost_delta,15860.652343007308
ev_charge_total,11393.897317195311
ev_departure_count,39682.0
ev_departure_met_count,1690.0
ev_departure_soc_deficit_mean,0.4999506739383629
ev_departure_success_rate,0.042588579204677186
ev_departure_within_tolerance_count,540.0
ev_departure_within_tolerance_rate,0.01360818507131697
ev_v2g_export_total,3376.6444974486367
grid_export_baseline,39346257.59938049
grid_export_control,39333545.88824421
grid_export_delta,-6373.270859114073
grid_export_ratio,0.9996769270596022
grid_import,1.0374132598116854
grid_import_baseline,13134273.334926605
grid_import_control,13179596.591932142
grid_import_delta,22723.72224452739
net_exchange_baseline,-26211984.264453888
net_exchange_control,-26153949.296312064
net_exchange_delta,29096.993103644265
one_minus_load_factor_average,0.9819840172895822
peak_average,1.1170323615944113
price_signal_deviation,0.35329494651478244
price_signal_deviation_baseline,0.35656490968401827
price_signal_deviation_delta,-0.0032699631692358344
price_signal_deviation_ratio,0.9908292625538121
pv_export_daily_average,110900.08183743121
pv_export_total,40473909.03391916
pv_generation_daily_average,135731.8379158463
pv_generation_total,49536465.346037395
pv_self_consumption_ratio,0.18294717333608018
ramping_average,1.019383469172229
zero_net_energy,0.9989654560201449
