algorithm,scenario,metric,value
HAPPO,escenario_2,pv_export_daily_average,110640.23046166918
HAPPO,escenario_2,pv_export_total,40379074.10890668
HAPPO,escenario_2,pv_generation_daily_average,136095.6394630498
HAPPO,escenario_2,pv_generation_total,49669237.752368875
HAPPO,escenario_2,pv_self_consumption_ratio,0.18704059220274868
HAPPO,escenario_2,ramping_average,1.1223596999902195
HAPPO,escenario_2,zero_net_energy,0.9866302696055077
HAPPO,escenario_3,battery_capacity_fade_ratio,0.0005261192698081518
HAPPO,escenario_3,battery_charge_total,5330227.473641165
HAPPO,escenario_3,battery_discharge_total,4521860.718493441
HAPPO,escenario_3,battery_equivalent_full_cycles,187.5445098632187
HAPPO,escenario_3,battery_throughput_total,9852088.192134606
HAPPO,escenario_3,carbon_emissions,1.3932207853310676
HAPPO,escenario_3,carbon_emissions_baseline,10495685.787414465
HAPPO,escenario_3,carbon_emissions_control,11978585.42130104
HAPPO,escenario_3,carbon_emissions_daily_average_baseline,28758.58647082397
HAPPO,escenario_3,carbon_emissions_daily_average_control,32821.78902970944
HAPPO,escenario_3,carbon_emissions_daily_average_delta,4063.2025588854685
HAPPO,escenario_3,carbon_emissions_delta,743481.4182227306
HAPPO,escenario_3,community_import_share,0.1939995492525576
HAPPO,escenario_3,community_local_traded_daily_average,6966.686729470461
HAPPO,escenario_3,community_local_traded_total,2542550.37764299
HAPPO,escenario_3,cost_one_minus_load_factor_average,0.9287143519335739
HAPPO,escenario_3,cost_peak_average,1.1657250592135147
HAPPO,escenario_3,cost_ramping_average,1.1194173043816145
HAPPO,escenario_3,electricity_cost,1.0436246228049002
HAPPO,escenario_3,electricity_cost_baseline,7149419.754495983
HAPPO,escenario_3,electricity_cost_control,7461310.494559772
HAPPO,escenario_3,electricity_cost_daily_average_baseline,19589.687647894007
HAPPO,escenario_3,electricity_cost_daily_average_control,20444.280382399196
HAPPO,escenario_3,electricity_cost_daily_average_delta,854.5927345051882
HAPPO,escenario_3,electricity_cost_delta,156372.66639914725
HAPPO,escenario_3,ev_charge_total,103933.3879561834
HAPPO,escenario_3,ev_departure_count,39682.0
HAPPO,escenario_3,ev_departure_met_count,7892.0
HAPPO,escenario_3,ev_departure_soc_deficit_mean,0.34858830702018745
HAPPO,escenario_3,ev_departure_success_rate,0.19888110478302504
HAPPO,escenario_3,ev_departure_within_tolerance_count,2497.0
HAPPO,escenario_3,ev_departure_within_tolerance_rate,0.06292525578347866
HAPPO,escenario_3,ev_v2g_export_total,47274.62796555887
HAPPO,escenario_3,grid_export_baseline,39642289.12152672
HAPPO,escenario_3,grid_export_control,39309681.436610274
HAPPO,escenario_3,grid_export_delta,-166759.52144200986
HAPPO,escenario_3,grid_export_ratio,0.9916097760173029
HAPPO,escenario_3,grid_import,1.3867887080271437
HAPPO,escenario_3,grid_import_baseline,12573542.40342331
HAPPO,escenario_3,grid_import_control,13105960.232582707
HAPPO,escenario_3,grid_import_delta,266938.3373391363
HAPPO,escenario_3,net_exchange_baseline,-27068746.71810341
HAPPO,escenario_3,net_exchange_control,-26203721.204027563
HAPPO,escenario_3,net_exchange_delta,433697.85878114804
HAPPO,escenario_3,one_minus_load_factor_average,0.9287143519335739
HAPPO,escenario_3,peak_average,1.1657250592135147
HAPPO,escenario_3,price_signal_deviation,0.3877679521335322
HAPPO,escenario_3,price_signal_deviation_baseline,0.3791344496323413
HAPPO,escenario_3,price_signal_deviation_delta,0.008633502501190937
HAPPO,escenario_3,price_signal_deviation_ratio,1.0227716117845875
HAPPO,escenario_3,pv_export_daily_average,110754.06200702809
HAPPO,escenario_3,pv_export_total,40420617.87998162
HAPPO,escenario_3,pv_generation_daily_average,136095.6394630498
HAPPO,escenario_3,pv_generation_total,49669237.752368875
HAPPO,escenario_3,pv_self_consumption_ratio,0.1862041837343509
HAPPO,escenario_3,ramping_average,1.1194173043816145
HAPPO,escenario_3,zero_net_energy,0.9874672553332993
MASAC,escenario_1,battery_capacity_fade_ratio,5.1152448057640876e-05
MASAC,escenario_1,battery_charge_total,358996.0523502038
MASAC,escenario_1,battery_discharge_total,308518.80131375405
MASAC,escenario_1,battery_equivalent_full_cycles,12.706823529733455
MASAC,escenario_1,battery_throughput_total,667514.8536639579
MASAC,escenario_1,carbon_emissions,1.037467044341369
MASAC,escenario_1,carbon_emissions_baseline,10931898.644318385
MASAC,escenario_1,carbon_emissions_control,11077263.549339302
MASAC,escenario_1,carbon_emissions_daily_average_baseline,29953.826631309654
MASAC,escenario_1,carbon_emissions_daily_average_control,30352.132113727966
MASAC,escenario_1,carbon_emissions_daily_average_delta,398.3054824183131
MASAC,escenario_1,carbon_emissions_delta,72881.60525166757
MASAC,escenario_1,community_import_share,0.09799700471313148
MASAC,escenario_1,community_local_traded_daily_average,3538.907283318001
MASAC,escenario_1,community_local_traded_total,1291553.7039409322
MASAC,escenario_1,cost_one_minus_load_factor_average,0.9852078523454418
MASAC,escenario_1,cost_peak_average,1.1166105576284036
MASAC,escenario_1,cost_ramping_average,1.0191187890056121
MASAC,escenario_1,electricity_cost,1.003315220878014
MASAC,escenario_1,electricity_cost_baseline,8145973.285303167
MASAC,escenario_1,electricity_cost_control,8172978.986010348
MASAC,escenario_1,electricity_cost_daily_average_baseline,22320.283005739926
MASAC,escenario_1,electricity_cost_daily_average_control,22394.279673963738
MASAC,escenario_1,electricity_cost_daily_average_delta,73.99666822381009
MASAC,escenario_1,electricity_cost_delta,13539.848687702584
MASAC,escenario_1,ev_charge_total,11323.290890360251
MASAC,escenario_1,ev_departure_count,39682.0
MASAC,escenario_1,ev_departure_met_count,1683.0
MASAC,escenario_1,ev_departure_soc_deficit_mean,0.500084993256214
MASAC,escenario_1,ev_departure_success_rate,0.04241217680560456
MASAC,escenario_1,ev_departure_within_tolerance_count,531.0
MASAC,escenario_1,ev_departure_within_tolerance_rate,0.01338138198679502
MASAC,escenario_1,ev_v2g_export_total,3406.4530065609724
MASAC,escenario_1,grid_export_baseline,39346283.74586487
MASAC,escenario_1,grid_export_control,39333371.20792347
MASAC,escenario_1,grid_export_delta,-6473.9593982922215
MASAC,escenario_1,grid_export_ratio,0.9996718231885685
MASAC,escenario_1,grid_import,1.0371370343271265
MASAC,escenario_1,grid_import_baseline,13134040.687343597
MASAC,escenario_1,grid_import_control,13179522.248886302
MASAC,escenario_1,grid_import_delta,22803.091393399667
MASAC,escenario_1,net_exchange_baseline,-26212243.05852127
MASAC,escenario_1,net_exchange_control,-26153848.959037166
MASAC,escenario_1,net_exchange_delta,29277.050791693757
MASAC,escenario_1,one_minus_load_factor_average,0.9852078523454418
MASAC,escenario_1,peak_average,1.1166105576284036
MASAC,escenario_1,price_signal_deviation,0.3947559787011891
MASAC,escenario_1,price_signal_deviation_baseline,0.38427682816729253
MASAC,escenario_1,price_signal_deviation_delta,0.010479150533896586
MASAC,escenario_1,price_signal_deviation_ratio,1.0272697955374361
MASAC,escenario_1,pv_export_daily_average,110902.01560713729
MASAC,escenario_1,pv_export_total,40474614.77928814
MASAC,escenario_1,pv_generation_daily_average,135731.8379158463
MASAC,escenario_1,pv_generation_total,49536465.346037395
MASAC,escenario_1,pv_self_consumption_ratio,0.18293292634925845
MASAC,escenario_1,ramping_average,1.0191187890056121
MASAC,escenario_1,zero_net_energy,0.9989368024149045
MASAC,escenario_2,battery_capacity_fade_ratio,5.028306424212913e-05
MASAC,escenario_2,battery_charge_total,353615.1211018505
MASAC,escenario_2,battery_discharge_total,303898.4720165327
MASAC,escenario_2,battery_equivalent_full_cycles,12.516439372542129
MASAC,escenario_2,battery_throughput_total,657513.5931183831
MASAC,escenario_2,carbon_emissions,1.0381138541467394
MASAC,escenario_2,carbon_emissions_baseline,10932105.935573434
MASAC,escenario_2,carbon_emissions_control,11075355.143674597
MASAC,escenario_2,carbon_emissions_daily_average_baseline,29954.39461739496
MASAC,escenario_2,carbon_emissions_daily_average_control,30346.90300812768
MASAC,escenario_2,carbon_emissions_daily_average_delta,392.5083907327212
MASAC,escenario_2,carbon_emissions_delta,71820.8582459477
MASAC,escenario_2,community_import_share,0.09763224324557233
MASAC,escenario_2,community_local_traded_daily_average,3526.2866048847777
MASAC,escenario_2,community_local_traded_total,1286947.682174407
MASAC,escenario_2,cost_one_minus_load_factor_average,0.9835213594804599
MASAC,escenario_2,cost_peak_average,1.1165692494429975
MASAC,escenario_2,cost_ramping_average,1.0186612323666393
MASAC,escenario_2,electricity_cost,1.0035990229795722
MASAC,escenario_2,electricity_cost_baseline,6993963.858133613
MASAC,escenario_2,electricity_cost_control,7019135.294777334
