building_id,building_name,year,mes,E_medido_kWh,E_punta_medido_kWh,E_fuera_punta_medido_kWh,E_punta_raw_kWh,E_fuera_punta_raw_kWh,E_split_raw_total_kWh,E_total_activa_reportada_kWh,E_punta_cal_kWh,E_fuera_punta_cal_kWh,E_total_syn,E_gest_kWh,E_ns_orig,scale_factor,E_non_shiftable_cal_kWh,E_cooling_elec_cal_kWh,E_dhw_elec_cal_kWh,E_controlled_model_kWh,E_controlled_used_kWh,controlled_energy_scale_min,E_non_shiftable_residual_kWh,E_cal_tot,delta_%,reported_total_delta_kWh,reported_total_delta_%,factor_carga,energia_reactiva_kvarh,total_facturado,facturado_por_kWh_activo,tariff_peak_to_offpeak_ratio,tariff_peak_price,tariff_offpeak_price,tariff_cost_reconstructed,tariff_cost_delta,tariff_cost_delta_%,active_energy_source,measurement_quality_flag,tarifa,source_file,record_type,forecast_method,forecast_scale_factor,forecast_reference_months,large_system_class,controlled_cooling_proxy,critical_load_proxy,status
2,MUNICIPALIDAD DISTRITAL DE SAN JUAN BAUTISTA,2023,11,3847.600000000,1145.200000000,2702.400000000,1145.200000000,2702.400000000,3847.600000000,7000.000000000,1145.200000000,2702.400000000,42866.452904000,32631.558192000,10234.894712000,0.089757835,0.000000000,3847.600000000,0.000000000,32631.558192000,3847.600000000,0.086815689,0.000000000,3847.600000000,0.000000000,3152.400000000,81.931593721,0.492978000,206.000000000,5316.500000000,1.381770454,1.461538462,1.775593250,1.214879592,5316.500000000,0.000000000,0.000000000,energia_activa_punta_fuera,split_reported_total_mismatch,BT3,B_02.csv,measured,,,,none,0.000000000,0.000000000,ok
2,MUNICIPALIDAD DISTRITAL DE SAN JUAN BAUTISTA,2023,12,3269.600000000,1048.800000000,2220.800000000,1048.800000000,2220.800000000,3269.600000000,6914.800000000,1048.800000000,2220.800000000,40639.292508000,30701.140078000,9938.152430000,0.080454157,0.000000000,3269.600000000,0.000000000,30701.140078000,3269.600000000,0.075889884,0.000000000,3269.600000000,0.000000000,3645.200000000,111.487643748,0.446959000,229.600000000,11021.000000000,3.370748715,1.461538462,4.291174156,2.936066528,11021.000000000,0.000000000,0.000000000,energia_activa_punta_fuera,split_reported_total_mismatch,BT3,B_02.csv,measured,,,,none,0.000000000,0.000000000,ok
2,MUNICIPALIDAD DISTRITAL DE SAN JUAN BAUTISTA,2024,1,3574.000000000,1066.800000000,2507.200000000,1066.800000000,2507.200000000,3574.000000000,5154.800000000,1066.800000000,2507.200000000,44333.954492000,33654.803032000,10679.151460000,0.080615412,0.000000000,3574.000000000,0.000000000,33654.803032000,3574.000000000,0.078188890,0.000000000,3574.000000000,-0.000000000,1580.800000000,44.230554001,0.397747000,299.200000000,10491.500000000,2.935506435,1.461538462,3.770865334,2.580065755,10491.500000000,0.000000000,0.000000000,energia_activa_punta_fuera,split_reported_total_mismatch,BT3,B_02.csv,measured,,,,none,0.000000000,0.000000000,ok
2,MUNICIPALIDAD DISTRITAL DE SAN JUAN BAUTISTA,2024,2,2812.000000000,928.400000000,1883.600000000,928.400000000,1883.600000000,2812.000000000,3923.200000000,928.400000000,1883.600000000,41145.035034000,31344.509750000,9800.525284000,0.068343604,0.000000000,2812.000000000,0.000000000,31344.509750000,2812.000000000,0.063019183,0.000000000,2812.000000000,0.000000000,1111.200000000,39.516358464,0.433950000,199.200000000,8884.500000000,3.159495021,1.461538462,4.007119051,2.741713035,8884.500000000,-0.000000000,-0.000000000,energia_activa_punta_fuera,split_reported_total_mismatch,BT3,B_02.csv,measured,,,,none,0.000000000,0.000000000,ok
2,MUNICIPALIDAD DISTRITAL DE SAN JUAN BAUTISTA,2024,3,3281.600000000,1060.400000000,2221.200000000,1060.400000000,2221.200000000,3281.600000000,3394.800000000,1060.400000000,2221.200000000,41705.740747000,31766.015251000,9939.725496000,0.078684611,0.000000000,3281.600000000,0.000000000,31766.015251000,3281.600000000,0.073358697,0.000000000,3281.600000000,0.000000000,113.200000000,3.449536811,0.320970000,174.400000000,8007.500000000,2.440120673,1.461538462,3.103479577,2.123433395,8007.500000000,0.000000000,0.000000000,energia_activa_punta_fuera,split_reported_total_mismatch,BT3,B_02.csv,measured,,,,none,0.000000000,0.000000000,ok
2,MUNICIPALIDAD DISTRITAL DE SAN JUAN BAUTISTA,2024,4,4291.600000000,1268.400000000,3023.200000000,1268.400000000,3023.200000000,4291.600000000,3847.600000000,1268.400000000,3023.200000000,42944.844057000,32702.321322000,10242.522735000,0.099932835,0.000000000,4291.600000000,0.000000000,32702.321322000,4291.600000000,0.096990430,0.000000000,4291.600000000,0.000000000,-444.000000000,-10.345791779,0.465668000,214.800000000,8023.500000000,1.869582440,1.461538462,2.404473417,1.645166022,8023.500000000,0.000000000,0.000000000,energia_activa_punta_fuera,split_reported_total_mismatch,BT3,B_02.csv,measured,,,,none,0.000000000,0.000000000,ok
2,MUNICIPALIDAD DISTRITAL DE SAN JUAN BAUTISTA,2024,5,2842.800000000,1010.800000000,1832.000000000,1010.800000000,1832.000000000,2842.800000000,3269.600000000,1010.800000000,1832.000000000,43844.811031000,33169.373274000,10675.437757000,0.064837775,0.000000000,2842.800000000,0.000000000,33169.373274000,2842.800000000,0.057938467,0.000000000,2842.800000000,0.000000000,426.800000000,15.013367103,0.360249000,49.200000000,7290.500000000,2.564549036,1.461538462,3.219796286,2.203018512,7290.500000000,0.000000000,0.000000000,energia_activa_punta_fuera,split_reported_total_mismatch,BT3,B_02.csv,measured,,,,none,0.000000000,0.000000000,ok
2,MUNICIPALIDAD DISTRITAL DE SAN JUAN BAUTISTA,2024,6,3699.600000000,1234.800000000,2464.800000000,1234.800000000,2464.800000000,3699.600000000,3574.000000000,1234.800000000,2464.800000000,38351.129033000,28846.907248000,9504.221785000,0.096466521,0.000000000,3699.600000000,0.000000000,28846.907248000,3699.600000000,0.089628212,0.000000000,3699.600000000,0.000000000,-125.600000000,-3.394961617,0.235271000,230.800000000,6042.000000000,1.633149530,1.461538462,2.068298273,1.415151450,6042.000000000,0.000000000,0.000000000,energia_activa_punta_fuera,split_reported_total_mismatch,BT3,B_02.csv,measured,,,,none,0.000000000,0.000000000,ok
2,MUNICIPALIDAD DISTRITAL DE SAN JUAN BAUTISTA,2024,7,9052.000000000,3120.800000000,5931.200000000,3120.800000000,5931.200000000,9052.000000000,2812.000000000,3120.800000000,5931.200000000,43311.260098000,32642.799118000,10668.460980000,0.208998768,1607.502662000,7444.497338000,0.000000000,32642.799118000,7444.497338000,0.190533085,1607.502662000,9052.000000000,0.000000000,-6240.000000000,-68.935041980,0.257627000,1498.000000000,2091.000000000,0.230998674,1.461538462,0.291266620,0.199287687,2091.000000000,0.000000000,0.000000000,energia_activa_punta_fuera,split_reported_total_mismatch,BT3,B_02.csv,measured,,,,none,0.000000000,0.000000000,ok
2,MUNICIPALIDAD DISTRITAL DE SAN JUAN BAUTISTA,2024,8,9206.400000000,3438.400000000,5768.000000000,3438.400000000,5768.000000000,9206.400000000,3281.600000000,3438.400000000,5768.000000000,42959.362085000,32657.144625000,10302.217460000,0.214304858,1923.744846000,7282.655154000,0.000000000,32657.144625000,7282.655154000,0.185213196,1923.744846000,9206.400000000,0.000000000,-5924.800000000,-64.355231144,0.299874000,1189.200000000,4428.000000000,0.480969760,1.461538462,0.599599754,0.410252463,4428.000000000,0.000000000,0.000000000,energia_activa_punta_fuera,split_reported_total_mismatch,BT3,B_02.csv,measured,,,,none,0.000000000,0.000000000,ok
