action_abs_mean_average,action_l2_mean,action_l2_std,action_mean_average,agent_reward_mean,agent_reward_total,agent_steps,episode
0.12098658242522531,0.9234777450719922,0.4554401802514796,0.09380456312782652,-0.6615033447742462,-22.49111372232437,34,0
0.11807327947573448,1.0173548569441149,0.44982840997724804,0.09741649666872479,-0.800538569688797,-27.218311369419098,34,1
0.1189806313120968,1.0634397605445405,0.42941084407831226,0.10107162829217957,-0.694621354341507,-23.617126047611237,34,2
0.1366536260597424,1.169434353383973,0.4747734683790179,0.11490257017528226,-0.804479718208313,-27.35231041908264,34,3
0.2619777563935913,2.3356195996599975,0.8175260528874808,0.2346409228698223,-0.5979540348052979,-20.330437183380127,34,4
0.25919517976250217,2.341540972371163,0.8251424606205637,0.22981760708578747,-0.5971585661172867,-20.303391247987747,34,5
0.24698643069964946,2.3336336794045853,0.7881213786898491,0.22085342809589417,-0.7756211459636688,-26.37111896276474,34,6
0.26793579632889253,2.2764642562246196,0.7723146384718952,0.23295807100538374,-0.6815244555473328,-23.171831488609314,34,7
0.24914614342575422,2.363069037738661,0.8625556103553579,0.22410569834342642,-0.5194127857685089,-17.660034716129303,34,8
0.25092558892511907,2.3531268563930934,0.8079818875357316,0.22228973966196525,-0.8178090453147888,-27.80550754070282,34,9
0.2691894329609161,2.2750469712310806,0.7915896407460048,0.23475541623999474,-0.7078206539154053,-24.06590223312378,34,10
0.23798051534116152,2.3213594201205683,0.8450189138096964,0.21826115333790758,-0.6301330029964447,-21.42452210187912,34,11
0.2505104043089877,2.336945700013244,0.8395109161529335,0.2229563648856154,-0.6724652647972107,-22.863819003105164,34,12
0.25706020515927563,2.2490882061658044,0.8281116227046083,0.22144660451983186,-0.7802740335464478,-26.529317140579224,34,13
0.2516552962656944,2.362514640508294,0.8507546518000223,0.23739395641979158,-0.6300832033157349,-21.422828912734985,34,14
0.2555829891524471,2.324732450919857,0.8459632057952066,0.23471881304505923,-0.7129501402378082,-24.24030476808548,34,15
0.25918851022614253,2.321218838588396,0.7930622916214936,0.25062971431822434,-0.8600257933139801,-29.240876972675323,34,16
0.27322202453961447,2.3211438922964924,0.830119803617728,0.26422870459168457,-0.7520111501216888,-25.56837910413742,34,17
0.23884801353607105,2.319189482908648,0.8415781837914404,0.23106132373511207,-0.7122122943401337,-24.215218007564545,34,18
0.30946284955443015,2.3534900630175883,0.7050786861291811,0.2996589279858027,-0.7734844088554382,-26.2984699010849,34,19
0.2866580998156779,2.2933119071561276,0.7872977240106537,0.28011168802090325,-0.7554782330989838,-25.686259925365448,34,20
0.2624602695958659,2.3715710613056955,0.9212139439893826,0.25165309882863557,-0.5840477645397186,-19.857623994350433,34,21
0.2604341032148252,2.408749505118596,0.8599692381570273,0.24682285431959142,-0.8181988000869751,-27.818759202957153,34,22
0.26625067762706145,2.3105738920794088,0.81641160359335,0.2459660731267397,-0.7315762042999268,-24.87359094619751,34,23
0.2626909849901704,2.362934379901872,0.8844220995637487,0.2458680932055211,-0.7219147980213165,-24.545103132724762,34,24
0.2611298872731064,2.3714147996869253,0.8457312537110317,0.23879937817613797,-0.6542682349681854,-22.245119988918304,34,25
0.2693200752200083,2.302870523269353,0.8242562318032276,0.2350582273920596,-0.8265540599822998,-28.102838039398193,34,26
0.2719316112544079,2.374561353442549,0.8710420883658117,0.2680674929728752,-0.7461788058280945,-25.370079398155212,34,27
0.2645290914309927,2.367787432124361,0.8176269220023934,0.23949182281604842,-0.8300197124481201,-28.220670223236084,34,28
0.2561486846755125,2.313408125470206,0.7762435832505373,0.2506076824364301,-0.8568145334720612,-29.13169413805008,34,29
0.2996678903372546,2.3804808106632622,0.8108808393245535,0.2912588013119255,-0.7855461239814758,-26.708568215370178,34,30
0.24896866338648038,2.3602268186183877,0.8412566220066114,0.23922803629692857,-0.838535875082016,-28.510219752788544,34,31
0.29402026031186196,2.438078022878379,0.8662496255019838,0.2842163387432345,-0.6478407680988312,-22.02658611536026,34,32
0.26557910532547635,2.4133786674454805,0.8495458118336243,0.25382874090501556,-0.7115697264671326,-24.193370699882507,34,33
0.2665240207337586,2.3225474458560913,0.8189347626648213,0.24348471891292878,-0.702581912279129,-23.887785017490387,34,34
0.28788608212559863,2.4419411706091605,0.8599825228976341,0.27396560433327016,-0.7775191068649292,-26.435649633407593,34,35
0.2528918742702745,2.382325207716693,0.8644161302073251,0.22720019935759747,-0.6209100782871246,-21.110942661762238,34,36
0.2795362586189755,2.3194435106806885,0.8607066115579804,0.24334057829520644,-0.7734068334102631,-26.295832335948944,34,37
0.27096182601734037,2.40853019798301,0.8818444901007843,0.2693660729366358,-0.6720503568649292,-22.849712133407593,34,38
0.2908999368098052,2.4247538708117387,0.8547573371263404,0.26088086545492745,-0.8337854444980621,-28.348705112934113,34,39
0.2706455345746023,2.3348844706056946,0.7940779094152236,0.26365822976438685,-0.8355790078639984,-28.409686267375946,34,40
0.30942242982248386,2.4061597954642298,0.8057214577927247,0.2913213617184691,-0.7466906905174255,-25.38748347759247,34,41
0.2625200447161305,2.369533306469009,0.8804729916143513,0.24265584829816772,-0.8319180011749268,-28.28521203994751,34,42
0.32534458305822933,2.365156713925436,0.7681968244596786,0.3190755389067362,-0.6738733947277069,-22.911695420742035,34,43
0.31712405195578464,2.381174145161316,0.7556831367774774,0.31568088869409056,-0.7728399932384491,-26.27655977010727,34,44
0.3118857918201586,2.4303319934433616,0.8115341237978704,0.2937051752841818,-0.7296749353408813,-24.808947801589966,34,45
0.33104343628529415,2.374853149317244,0.8311017935626865,0.3165656733547607,-0.8110827803611755,-27.57681453227997,34,46
0.35941952831004736,2.451890736618639,0.8093139966116828,0.35756559297718804,-0.8041121065616608,-27.339811623096466,34,47
0.3144292064191953,2.421594857179761,0.8003811391379615,0.30805422780908176,-0.6339840888977051,-21.555459022521973,34,48
