metric,value
battery_capacity_fade_ratio,6.177268493979404e-05
battery_charge_total,407054.97502134804
battery_discharge_total,357029.08065188775
battery_equivalent_full_cycles,14.54511641805444
battery_throughput_total,764084.0556732358
carbon_emissions,1.054722935099286
carbon_emissions_baseline,10418794.693337657
carbon_emissions_control,10603580.080276055
carbon_emissions_daily_average_baseline,28547.901888355267
carbon_emissions_daily_average_control,29054.221021420864
carbon_emissions_daily_average_delta,506.31913306559755
carbon_emissions_delta,92645.85303573216
community_import_share,0.10624733705261623
community_local_traded_daily_average,3649.0101506112746
community_local_traded_total,1331736.6628835064
cost_one_minus_load_factor_average,0.9795778295331244
cost_peak_average,1.0817883847769343
cost_ramping_average,1.024512670930083
electricity_cost,1.004874906139094
electricity_cost_baseline,6642082.883512934
electricity_cost_control,6674462.414138143
electricity_cost_daily_average_baseline,18199.564927995252
electricity_cost_daily_average_control,18288.286098791577
electricity_cost_daily_average_delta,88.72117079632619
electricity_cost_delta,16234.125898002769
ev_charge_total,11413.988464787602
ev_departure_count,39682.0
ev_departure_met_count,1650.0
ev_departure_soc_deficit_mean,0.5003175607927299
ev_departure_success_rate,0.04158056549569074
ev_departure_within_tolerance_count,517.0
ev_departure_within_tolerance_rate,0.013028577188649765
ev_v2g_export_total,3772.114571128506
grid_export_baseline,39642072.05358124
grid_export_control,39645211.36869922
grid_export_delta,1573.958481633882
grid_export_ratio,1.0000791914992169
grid_import,1.0537168844680105
grid_import_baseline,12473499.126983643
grid_import_control,12534306.269003227
grid_import_delta,30486.877974541218
net_exchange_baseline,-27168572.926597595
net_exchange_control,-27110905.099695995
net_exchange_delta,28912.91949290734
one_minus_load_factor_average,0.9795778295331244
peak_average,1.0817883847769343
pv_export_daily_average,111696.14966246509
pv_export_total,40764440.62056382
pv_generation_daily_average,136095.6394630498
pv_generation_total,49669237.752368875
pv_self_consumption_ratio,0.17928193656203953
ramping_average,1.024512670930083
zero_net_energy,0.9990277078528375
