episode,reward_mean,reward_sum,reward_min,reward_max
0,-0.5122125197142979,-4486.981672697249,-0.8778769373893738,0.0920171737670898
1,-0.5276995656233887,-4622.648194860885,-0.9053311944007874,0.1020813137292862
2,-0.5341907245379025,-4679.510746952026,-0.9189134240150452,0.1006124764680862
3,-0.512138016395751,-4486.3290236267785,-0.8816441297531128,0.0939467325806617
4,-0.528397297212773,-4626.118337097827,-0.899275541305542,0.1020795404911041
