cost_function,level,name,value
building_battery_total_discharge_kwh,building,Building_10,373498.1821411243
building_battery_total_throughput_kwh,building,Building_10,810343.4599723658
building_comfort_resilience_discomfort_cold_delta_average_c,building,Building_10,0.0
building_comfort_resilience_discomfort_cold_delta_max_c,building,Building_10,0.0
building_comfort_resilience_discomfort_cold_delta_min_c,building,Building_10,0.0
building_comfort_resilience_discomfort_cold_ratio,building,Building_10,nan
building_comfort_resilience_discomfort_hot_delta_average_c,building,Building_10,0.0
building_comfort_resilience_discomfort_hot_delta_max_c,building,Building_10,0.0
building_comfort_resilience_discomfort_hot_delta_min_c,building,Building_10,0.0
building_comfort_resilience_discomfort_hot_ratio,building,Building_10,nan
building_comfort_resilience_discomfort_overall_ratio,building,Building_10,nan
building_comfort_resilience_resilience_one_minus_thermal_ratio,building,Building_10,nan
building_comfort_resilience_resilience_unserved_energy_annual_normalized_ratio,building,Building_10,0.0
building_comfort_resilience_resilience_unserved_energy_outage_normalized_ratio,building,Building_10,nan
building_cost_daily_average_baseline_eur,building,Building_10,917.3967508757278
building_cost_daily_average_control_eur,building,Building_10,984.7354446418103
building_cost_daily_average_delta_eur,building,Building_10,67.33869376608256
building_cost_ratio_to_baseline_total_ratio,building,Building_10,1.0734019318269903
building_cost_total_baseline_eur,building,Building_10,334811.5892050208
building_cost_total_control_eur,building,Building_10,359387.406650734
building_cost_total_delta_eur,building,Building_10,24575.81744571321
building_electrical_service_phase_imbalance_phase_average_ratio,building,Building_10,0.1709907062699644
building_electrical_service_phase_phase_peaks_export_peak_l1_kw,building,Building_10,1162.42724609375
building_electrical_service_phase_phase_peaks_export_peak_l2_kw,building,Building_10,1161.948486328125
building_electrical_service_phase_phase_peaks_export_peak_l3_kw,building,Building_10,1168.2623291015625
building_electrical_service_phase_phase_peaks_import_peak_l1_kw,building,Building_10,311.6947937011719
building_electrical_service_phase_phase_peaks_import_peak_l2_kw,building,Building_10,310.78021240234375
building_electrical_service_phase_phase_peaks_import_peak_l3_kw,building,Building_10,311.2884826660156
building_electrical_service_phase_violations_energy_total_kwh,building,Building_10,0.0
building_electrical_service_phase_violations_event_count,building,Building_10,0.0
building_emissions_daily_average_baseline_kgco2,building,Building_10,1235.0293161667207
building_emissions_daily_average_control_kgco2,building,Building_10,1677.7412276550106
building_emissions_daily_average_delta_kgco2,building,Building_10,442.71191148828996
building_emissions_ratio_to_baseline_total_ratio,building,Building_10,1.3584626742807835
building_emissions_total_baseline_kgco2,building,Building_10,450734.2408460127
building_emissions_total_control_kgco2,building,Building_10,612305.6422095932
building_emissions_total_delta_kgco2,building,Building_10,161571.4013635805
building_energy_grid_daily_average_export_baseline_kwh,building,Building_10,8096.275814811149
building_energy_grid_daily_average_export_control_kwh,building,Building_10,8469.673436594385
building_energy_grid_daily_average_export_delta_kwh,building,Building_10,373.39762178323684
building_energy_grid_daily_average_import_baseline_kwh,building,Building_10,1640.778343031594
building_energy_grid_daily_average_import_control_kwh,building,Building_10,2205.8232480111305
building_energy_grid_daily_average_import_delta_kwh,building,Building_10,565.0449049795365
building_energy_grid_daily_average_net_exchange_baseline_kwh,building,Building_10,-6455.497471779555
building_energy_grid_daily_average_net_exchange_control_kwh,building,Building_10,-6263.850188583255
building_energy_grid_daily_average_net_exchange_delta_kwh,building,Building_10,191.64728319629958
building_energy_grid_ratio_to_baseline_export_total_ratio,building,Building_10,1.0461196765431522
building_energy_grid_ratio_to_baseline_import_total_ratio,building,Building_10,1.344376135496479
building_energy_grid_ratio_to_baseline_net_exchange_total_ratio,building,Building_10,0.9703125461617648
building_energy_grid_total_export_baseline_kwh,building,Building_10,2954803.327580452
building_energy_grid_total_export_control_kwh,building,Building_10,3091077.9012970924
building_energy_grid_total_export_delta_kwh,building,Building_10,136274.57371664047
building_energy_grid_total_import_baseline_kwh,building,Building_10,598815.7294422388
building_energy_grid_total_import_control_kwh,building,Building_10,805033.5762220621
building_energy_grid_total_import_delta_kwh,building,Building_10,206217.8467798233
building_energy_grid_total_net_exchange_baseline_kwh,building,Building_10,-2355987.598138213
building_energy_grid_total_net_exchange_control_kwh,building,Building_10,-2286044.3250750303
building_energy_grid_total_net_exchange_delta_kwh,building,Building_10,69943.27306318283
building_equity_benefit_relative_percent,building,Building_10,-7.340193182699028
building_ev_events_departure_count,building,Building_10,1298.0
building_ev_events_departure_met_count,building,Building_10,244.0
building_ev_events_departure_within_tolerance_count,building,Building_10,50.0
building_ev_performance_departure_soc_deficit_mean_ratio,building,Building_10,0.35428593017555404
building_ev_performance_departure_success_ratio,building,Building_10,0.18798151001540833
building_ev_performance_departure_within_tolerance_ratio,building,Building_10,0.03852080123266564
building_ev_total_charge_kwh,building,Building_10,11388.509143862873
building_ev_total_v2g_export_kwh,building,Building_10,4792.331977876136
building_solar_self_consumption_daily_average_export_kwh,building,Building_10,7966.550477674068
building_solar_self_consumption_daily_average_generation_kwh,building,Building_10,9646.279287943597
building_solar_self_consumption_ratio_self_consumption_ratio,building,Building_10,0.17413230118362202
building_solar_self_consumption_total_export_kwh,building,Building_10,2907458.984747798
building_solar_self_consumption_total_generation_kwh,building,Building_10,3520490.0117957485
building_battery_health_capacity_fade_ratio,building,Building_11,0.0005094949580429728
building_battery_health_equivalent_full_cycles_count,building,Building_11,198.02007533748176
building_battery_total_charge_kwh,building,Building_11,409101.48693704605
building_battery_total_discharge_kwh,building,Building_11,343770.83949605963
building_battery_total_throughput_kwh,building,Building_11,752872.3264331056
building_comfort_resilience_discomfort_cold_delta_average_c,building,Building_11,0.0
building_comfort_resilience_discomfort_cold_delta_max_c,building,Building_11,0.0
building_comfort_resilience_discomfort_cold_delta_min_c,building,Building_11,0.0
building_comfort_resilience_discomfort_cold_ratio,building,Building_11,nan
building_comfort_resilience_discomfort_hot_delta_average_c,building,Building_11,0.0
building_comfort_resilience_discomfort_hot_delta_max_c,building,Building_11,0.0
building_comfort_resilience_discomfort_hot_delta_min_c,building,Building_11,0.0
building_comfort_resilience_discomfort_hot_ratio,building,Building_11,nan
building_comfort_resilience_discomfort_overall_ratio,building,Building_11,nan
building_comfort_resilience_resilience_one_minus_thermal_ratio,building,Building_11,nan
building_comfort_resilience_resilience_unserved_energy_annual_normalized_ratio,building,Building_11,0.0
building_comfort_resilience_resilience_unserved_energy_outage_normalized_ratio,building,Building_11,nan
building_cost_daily_average_baseline_eur,building,Building_11,351.779082807282
building_cost_daily_average_control_eur,building,Building_11,367.01442384053803
building_cost_daily_average_delta_eur,building,Building_11,15.235341033255983
building_cost_ratio_to_baseline_total_ratio,building,Building_11,1.0433094000691407
building_cost_total_baseline_eur,building,Building_11,128384.7077628743
building_cost_total_control_eur,building,Building_11,133944.97243413635
building_cost_total_delta_eur,building,Building_11,5560.264671262048
building_electrical_service_phase_imbalance_phase_average_ratio,building,Building_11,0.12201945957452434
building_electrical_service_phase_phase_peaks_export_peak_l1_kw,building,Building_11,4307.3994140625
building_electrical_service_phase_phase_peaks_export_peak_l2_kw,building,Building_11,4304.82470703125
building_electrical_service_phase_phase_peaks_export_peak_l3_kw,building,Building_11,4306.22314453125
building_electrical_service_phase_phase_peaks_import_peak_l1_kw,building,Building_11,185.83619689941406
building_electrical_service_phase_phase_peaks_import_peak_l2_kw,building,Building_11,185.73193359375
building_electrical_service_phase_phase_peaks_import_peak_l3_kw,building,Building_11,188.36509704589844
building_electrical_service_phase_violations_energy_total_kwh,building,Building_11,0.0
building_electrical_service_phase_violations_event_count,building,Building_11,0.0
building_emissions_daily_average_baseline_kgco2,building,Building_11,1026.7783954533752
building_emissions_daily_average_control_kgco2,building,Building_11,1352.7958495602215
building_emissions_daily_average_delta_kgco2,building,Building_11,326.01745410684623
building_emissions_ratio_to_baseline_total_ratio,building,Building_11,1.3175149141727829
building_emissions_total_baseline_kgco2,building,Building_11,374731.33190733806
building_emissions_total_control_kgco2,building,Building_11,493714.11859574914
building_emissions_total_delta_kgco2,building,Building_11,118982.78668841108
building_energy_grid_daily_average_export_baseline_kwh,building,Building_11,28106.836204252257
building_energy_grid_daily_average_export_control_kwh,building,Building_11,28339.10541875815
building_energy_grid_daily_average_export_delta_kwh,building,Building_11,232.2692145058956
building_energy_grid_daily_average_import_baseline_kwh,building,Building_11,1329.9344114357375
building_energy_grid_daily_average_import_control_kwh,building,Building_11,1748.2101987167396
building_energy_grid_daily_average_import_delta_kwh,building,Building_11,418.275787281002
building_energy_grid_daily_average_net_exchange_baseline_kwh,building,Building_11,-26776.90179281652
building_energy_grid_daily_average_net_exchange_control_kwh,building,Building_11,-26590.895220041413
building_energy_grid_daily_average_net_exchange_delta_kwh,building,Building_11,186.00657277510638
building_energy_grid_ratio_to_baseline_export_total_ratio,building,Building_11,1.0082637979179867
building_energy_grid_ratio_to_baseline_import_total_ratio,building,Building_11,1.3145085830431669
building_energy_grid_ratio_to_baseline_net_exchange_total_ratio,building,Building_11,0.9930534692096079
building_energy_grid_total_export_baseline_kwh,building,Building_11,10257824.096376896
building_energy_grid_total_export_control_kwh,building,Building_11,10342592.68178761
building_energy_grid_total_export_delta_kwh,building,Building_11,84768.58541071415
building_energy_grid_total_import_baseline_kwh,building,Building_11,485370.6462402344
building_energy_grid_total_import_control_kwh,building,Building_11,638023.8804399967
building_energy_grid_total_import_delta_kwh,building,Building_11,152653.23419976234
building_energy_grid_total_net_exchange_baseline_kwh,building,Building_11,-9772453.450136662
building_energy_grid_total_net_exchange_control_kwh,building,Building_11,-9704568.801347613
building_energy_grid_total_net_exchange_delta_kwh,building,Building_11,67884.6487890482
building_equity_benefit_relative_percent,building,Building_11,-4.330940006914079
building_ev_events_departure_count,building,Building_11,983.0
building_ev_events_departure_met_count,building,Building_11,140.0
building_ev_events_departure_within_tolerance_count,building,Building_11,59.0
building_ev_performance_departure_soc_deficit_mean_ratio,building,Building_11,0.37384407272274567
building_ev_performance_departure_success_ratio,building,Building_11,0.14242115971515767
building_ev_performance_departure_within_tolerance_ratio,building,Building_11,0.06002034587995931
building_ev_total_charge_kwh,building,Building_11,4771.719155751169
building_ev_total_v2g_export_kwh,building,Building_11,2217.7204691793304
building_solar_self_consumption_daily_average_export_kwh,building,Building_11,27976.96324493655
