available,axis,axis_name,baseline,delta_vs_baseline,improved_vs_baseline,kpi,lower_is_better,source,value,output_profile,algorithm,scenario,seed,run_path
True,OE1,Flexibilidad energetica,0.0,269138.0429744212,False,grid_import_delta,True,citylearn_v2.evaluate_v2,269138.0429744212,local_v4,HAPPO,E1,0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v3_madrl_full_20260615_074011_v4\happo\E1_seed_0
True,OE1,Flexibilidad energetica,,,,net_exchange_baseline,True,citylearn_v2.evaluate_v2,-27068626.394756317,local_v4,HAPPO,E1,0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v3_madrl_full_20260615_074011_v4\happo\E1_seed_0
True,OE1,Flexibilidad energetica,-27068626.394756317,813865.8183883727,False,net_exchange_control,True,citylearn_v2.evaluate_v2,-26254760.576367944,local_v4,HAPPO,E1,0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v3_madrl_full_20260615_074011_v4\happo\E1_seed_0
True,OE1,Flexibilidad energetica,0.0,408047.9211613813,False,net_exchange_delta,True,citylearn_v2.evaluate_v2,408047.9211613813,local_v4,HAPPO,E1,0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v3_madrl_full_20260615_074011_v4\happo\E1_seed_0
True,OE1,Flexibilidad energetica,1.0,-0.06596342595574323,True,one_minus_load_factor_average,True,citylearn_v2.evaluate_v2,0.9340365740442568,local_v4,HAPPO,E1,0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v3_madrl_full_20260615_074011_v4\happo\E1_seed_0
True,OE1,Flexibilidad energetica,1.0,0.15196049424100466,False,peak_average,True,citylearn_v2.evaluate_v2,1.1519604942410047,local_v4,HAPPO,E1,0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v3_madrl_full_20260615_074011_v4\happo\E1_seed_0
True,OE1,Flexibilidad energetica,,,,pv_export_daily_average,True,citylearn_v2.evaluate_v2,110849.34532442086,local_v4,HAPPO,E1,0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v3_madrl_full_20260615_074011_v4\happo\E1_seed_0
True,OE1,Flexibilidad energetica,,,,pv_export_total,True,citylearn_v2.evaluate_v2,40455392.320691764,local_v4,HAPPO,E1,0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v3_madrl_full_20260615_074011_v4\happo\E1_seed_0
True,OE1,Flexibilidad energetica,,,,pv_generation_daily_average,False,citylearn_v2.evaluate_v2,136095.6394630498,local_v4,HAPPO,E1,0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v3_madrl_full_20260615_074011_v4\happo\E1_seed_0
True,OE1,Flexibilidad energetica,,,,pv_generation_total,False,citylearn_v2.evaluate_v2,49669237.752368875,local_v4,HAPPO,E1,0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v3_madrl_full_20260615_074011_v4\happo\E1_seed_0
True,OE1,Flexibilidad energetica,,,,pv_self_consumption_ratio,False,citylearn_v2.evaluate_v2,0.18550406345299056,local_v4,HAPPO,E1,0,D:\MADRLCitytleranflexresdr\outputs\citylearn_v3_madrl_full_20260615_074011_v4\happo\E1_seed_0
