absolute_net_energy_total,carbon_emissions_total,electricity_cost_total,episode,grid_import_total,return_per_cost,return_per_grid_import,return_per_kgco2,return_total,steps
1442.494648694992,1139.5708111524582,574.6171877980232,0,1442.494648694992,-160.96452565603516,-64.12015680709179,-81.16475269682864,-92492.98306771368,8760
1433.7156693935394,1132.6354122161863,949.0136524438858,1,1433.7156693935394,-98.44302842445798,-65.16199826584187,-82.48353967666722,-93423.77796273213,8760
1207.5658943280578,953.9770864471792,552.4939416870475,2,1207.5658943280578,-160.13336242165144,-73.26532905201732,-92.74091994120174,-88472.71259993874,8760
1442.494648694992,1139.5708111524582,574.6171877980232,3,1442.494648694992,-161.3034944651757,-64.25518490167488,-81.33567432973938,-92687.76037157327,8760
957.599410057068,988.3797491788864,633.8599035739899,4,957.599410057068,-147.36672952508982,-97.54586310910626,-94.50806842652284,-93409.86096678767,8760
1171.828912459314,925.7448691353202,536.1433102115989,5,1171.828912459314,-165.1784475845045,-75.57359160708036,-95.66277126254775,-88559.31966356933,8760
1442.4946625232697,1139.5708221197128,574.6171934008598,6,1442.4946625232697,-160.75809994107837,-64.03792721354853,-81.06066460421657,-92374.36820459738,8760
1433.7156693935394,1132.6354122161863,949.0136524438858,7,1433.7156693935394,-98.33981913665892,-65.09368135665879,-82.39706257898521,-93325.83093955182,8760
1171.828942976892,925.744892977178,536.1433240398765,8,1171.828942976892,-165.07593876204376,-75.5266910390952,-95.60340348436262,-88504.36252688523,8760
1412.9580256938934,1116.2368787527084,562.8512855172157,9,1412.9580256938934,-164.33822913987018,-65.46407030426371,-82.86590892280556,-92497.9835309987,8760
1433.7156693935394,1132.6354122161863,949.0136524438858,10,1433.7156693935394,-98.50848098277407,-65.20532301478295,-82.53838112940603,-93485.89333416149,8760
1171.828942976892,925.744892977178,536.1433240398765,11,1171.828942976892,-165.25327112752854,-75.60782537568987,-95.70610517314547,-88599.4380907761,8760
1442.494648694992,1139.5708111524582,574.6171877980232,12,1442.494648694992,-160.71016290174472,-64.01883150187616,-81.03649282116271,-92346.82185716275,8760
1297.5459153652191,1051.1623058319092,858.8793394565582,13,1297.5459153652191,-108.67259581759667,-71.93321346672775,-88.79375410915122,-93336.64731284697,8760
1171.828942976892,925.744892977178,536.1433240398765,14,1171.828942976892,-164.8649141832369,-75.43014160684768,-95.48118901686306,-88391.2231077496,8760
1442.494648694992,1139.5708111524582,574.6171877980232,15,1442.494648694992,-161.12854055504914,-64.18549207895133,-81.24745556979279,-92587.22884774208,8760
1501.0754108428955,1185.8496088981628,993.6008151769638,16,1501.0754108428955,-94.01981378484224,-62.234157554382094,-78.7774123450658,-93418.16361940559,8760
1171.828942976892,925.744892977178,536.1433240398765,17,1171.828942976892,-165.01633154443329,-75.4994191305304,-95.56888208216111,-88472.40451509878,8760
1442.494648694992,1139.5708111524582,574.6171877980232,18,1442.494648694992,-160.5969445290942,-63.97373100673161,-80.97940358874045,-92281.76463426324,8760
1436.8622224330902,1135.1211891174316,951.09643805027,19,1436.8622224330902,-98.11466691318915,-64.94464727704143,-82.20841185616263,-93316.51022162288,8760
2074.396692000329,1638.7734192833304,949.0923978313804,20,2074.396692000329,-93.14728548379185,-42.617393708841355,-53.94606691262886,-88405.38053129613,8760
1442.494648694992,1139.5708111524582,574.6171877980232,21,1442.494648694992,-160.92978781486184,-64.10631900143807,-81.14723648773497,-92473.0221071085,8760
1433.7156693935394,1132.6354122161863,949.0136524438858,22,1433.7156693935394,-98.01691590260423,-64.87994331635,-82.12650810555886,-93019.39136201562,8737
1442.494648694992,1139.5708111524582,574.6171877980232,23,1442.494648694992,-160.63666756086926,-63.98955466114173,-80.99943353035181,-92304.59017107263,8760
1433.7156693935394,1132.6354122161863,949.0136524438858,24,1433.7156693935394,-98.08483992870929,-64.92490399403438,-82.18342035411423,-93083.85219011828,8760
1298.8265947923064,1026.0730424150825,594.2481717690825,25,1298.8265947923064,-148.17060562387917,-67.79204541618421,-85.8127129962046,-88050.11150190793,8760
966.3174483776093,1064.884356379509,384.9321861863136,26,966.3174483776093,-238.9519184648839,-95.18640538110023,-86.37584336464897,-91980.28436810151,8760
962.8758409023284,988.3797512054444,637.3525321483612,27,962.8758409023284,-145.85198407025524,-96.5432171181343,-94.05203946424956,-92959.13136603963,8760
1171.828942976892,925.744892977178,536.1433240398765,28,1171.828942976892,-164.17804503508373,-75.11588045936675,-95.08339010804386,-88022.96279947832,8760
1442.494648694992,1139.5708111524582,574.6171877980232,29,1442.494648694992,-160.10166318188857,-63.776435872806786,-80.72966292136384,-91997.16745936312,8760
1433.7156693935394,1132.6354122161863,949.0136524438858,30,1433.7156693935394,-97.47041848217135,-64.51820247464214,-81.66860831942965,-92500.75784899946,8752
1442.494648694992,1139.5708111524582,574.6171877980232,31,1442.494648694992,-160.63666756086926,-63.98955466114173,-80.99943353035181,-92304.59017107263,8760
