cost_function,level,name,value
building_comfort_resilience_resilience_one_minus_thermal_ratio,building,Building_10,nan
building_comfort_resilience_resilience_unserved_energy_annual_normalized_ratio,building,Building_10,0.0
building_comfort_resilience_resilience_unserved_energy_outage_normalized_ratio,building,Building_10,nan
building_cost_daily_average_baseline_eur,building,Building_10,759.5273141472297
building_cost_daily_average_control_eur,building,Building_10,762.152317485424
building_cost_daily_average_delta_eur,building,Building_10,2.6250033381942948
building_cost_ratio_to_baseline_total_ratio,building,Building_10,1.0034561013005063
building_cost_total_baseline_eur,building,Building_10,277195.822692316
building_cost_total_control_eur,building,Building_10,278153.83953561785
building_cost_total_delta_eur,building,Building_10,958.0168433018262
building_electrical_service_phase_imbalance_phase_average_ratio,building,Building_10,0.037661512534814166
building_electrical_service_phase_phase_peaks_export_peak_l1_kw,building,Building_10,1225.7025146484375
building_electrical_service_phase_phase_peaks_export_peak_l2_kw,building,Building_10,1225.7025146484375
building_electrical_service_phase_phase_peaks_export_peak_l3_kw,building,Building_10,1225.7025146484375
building_electrical_service_phase_phase_peaks_import_peak_l1_kw,building,Building_10,342.59796142578125
building_electrical_service_phase_phase_peaks_import_peak_l2_kw,building,Building_10,342.59796142578125
building_electrical_service_phase_phase_peaks_import_peak_l3_kw,building,Building_10,342.59796142578125
building_electrical_service_phase_violations_energy_total_kwh,building,Building_10,0.0
building_electrical_service_phase_violations_event_count,building,Building_10,0.0
building_emissions_daily_average_baseline_kgco2,building,Building_10,1228.2398929980986
building_emissions_daily_average_control_kgco2,building,Building_10,1239.8598708164639
building_emissions_daily_average_delta_kgco2,building,Building_10,11.619977818365259
building_emissions_ratio_to_baseline_total_ratio,building,Building_10,1.0094606744859924
building_emissions_total_baseline_kgco2,building,Building_10,448256.38428209774
building_emissions_total_control_kgco2,building,Building_10,452497.19202005863
building_emissions_total_delta_kgco2,building,Building_10,4240.807737960888
building_energy_grid_daily_average_export_baseline_kwh,building,Building_10,8096.421808135443
